0, GPU-89fdc65d-bc2d-e313-46a8-533d86822af1, NVIDIA GeForce RTX 3090, 00000000:13:00.0, 580.105.08, 24576 MiB, 24125 MiB, 32, 22.41 W
1, GPU-29bace2a-7059-6401-b95e-315d060675c0, NVIDIA GeForce RTX 3090, 00000000:8B:00.0, 580.105.08, 24576 MiB, 24125 MiB, 31, 21.93 W
