sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_PMUL0271_turn3,30.09,very_long,streaming,1646.57,1539.00,107.57,
multiwoz_PMUL0271_turn3,30.09,very_long,non-streaming,3085.15,3024.85,60.30,
multiwoz_PMUL2590_turn4,30.28,very_long,streaming,2661.62,2471.09,190.53,
multiwoz_PMUL2590_turn4,30.28,very_long,non-streaming,3132.64,3077.99,54.64,
crosswoz_7701_turn3,30.56,very_long,streaming,1840.26,1754.36,85.90,
crosswoz_7701_turn3,30.56,very_long,non-streaming,3350.65,3304.78,45.88,
multiwoz_MUL2016_turn3,31.00,very_long,streaming,1693.21,1606.86,86.34,
multiwoz_MUL2016_turn3,31.00,very_long,non-streaming,3270.58,3216.40,54.18,
crosswoz_8672_turn3,31.66,very_long,streaming,1363.69,1235.14,128.55,
crosswoz_8672_turn3,31.66,very_long,non-streaming,3938.49,3875.75,62.74,
multiwoz_MUL1031_turn3,32.00,very_long,streaming,1789.11,1661.64,127.47,
multiwoz_MUL1031_turn3,32.00,very_long,non-streaming,2982.30,2929.52,52.79,
crosswoz_12315_turn3,32.11,very_long,streaming,1769.51,1664.26,105.26,
crosswoz_12315_turn3,32.11,very_long,non-streaming,3425.35,3360.52,64.83,
multiwoz_PMUL2936_turn4,33.53,very_long,streaming,1506.45,1388.33,118.12,
multiwoz_PMUL2936_turn4,33.53,very_long,non-streaming,2591.47,2525.15,66.31,
crosswoz_8907_turn3,35.33,very_long,streaming,1465.05,1375.62,89.43,
crosswoz_8907_turn3,35.33,very_long,non-streaming,3516.68,3437.70,78.98,
crosswoz_11592_turn2,35.79,very_long,streaming,1477.31,1390.28,87.03,
crosswoz_11592_turn2,35.79,very_long,non-streaming,3409.90,3364.81,45.08,
crosswoz_9577_turn3,36.69,very_long,streaming,1436.48,1347.12,89.36,
crosswoz_9577_turn3,36.69,very_long,non-streaming,3834.53,3788.81,45.72,
crosswoz_10574_turn4,37.76,very_long,streaming,1630.89,1522.43,108.46,
crosswoz_10574_turn4,37.76,very_long,non-streaming,3730.36,3663.14,67.22,
crosswoz_11730_turn3,37.84,very_long,streaming,1563.64,1470.95,92.68,
crosswoz_11730_turn3,37.84,very_long,non-streaming,4330.90,4259.26,71.64,
crosswoz_7196_turn3,38.28,very_long,streaming,1365.77,1247.80,117.97,
crosswoz_7196_turn3,38.28,very_long,non-streaming,3564.30,3494.98,69.32,
multiwoz_PMUL4031_turn4,38.48,very_long,streaming,1576.01,1468.12,107.89,
multiwoz_PMUL4031_turn4,38.48,very_long,non-streaming,2899.37,2833.15,66.22,
multiwoz_PMUL4612_turn4,39.14,very_long,streaming,1239.34,1151.45,87.89,
multiwoz_PMUL4612_turn4,39.14,very_long,non-streaming,3343.16,3274.30,68.85,
multiwoz_MUL0183_turn4,39.88,very_long,streaming,1212.50,1128.07,84.43,
multiwoz_MUL0183_turn4,39.88,very_long,non-streaming,3379.49,3310.63,68.86,
crosswoz_11592_turn3,40.77,very_long,streaming,1199.00,1100.37,98.63,
crosswoz_11592_turn3,40.77,very_long,non-streaming,3806.76,3729.47,77.29,
multiwoz_MUL0666_turn4,41.25,very_long,streaming,1465.99,1370.37,95.62,
multiwoz_MUL0666_turn4,41.25,very_long,non-streaming,3922.26,3852.88,69.38,
crosswoz_8717_turn3,41.78,very_long,streaming,1634.84,1534.98,99.86,
crosswoz_8717_turn3,41.78,very_long,non-streaming,4516.00,4447.40,68.59,
