sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,streaming,0.0000,0.0000,861.35,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,non-streaming,0.0000,0.0000,782.08,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,streaming,0.0000,0.0000,907.91,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,non-streaming,0.0000,0.0000,707.80,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,streaming,0.1667,0.0192,799.29,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,non-streaming,0.0000,0.0000,781.68,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,streaming,0.0000,0.0000,872.56,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,non-streaming,0.0000,0.0000,824.98,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,streaming,0.0000,0.0000,916.03,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,non-streaming,0.0000,0.0000,707.90,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,streaming,0.0833,0.0086,799.80,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,non-streaming,0.0000,0.0000,708.27,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,streaming,0.0870,0.0092,815.25,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,non-streaming,0.0000,0.0000,818.51,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,streaming,0.0000,0.0000,920.42,
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,non-streaming,0.0000,0.0000,763.81,
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,streaming,0.0000,0.0000,854.41,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,non-streaming,0.0000,0.0000,723.01,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,streaming,0.0000,0.0000,805.05,
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,non-streaming,0.0000,0.0000,803.78,
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,streaming,0.0000,0.0000,874.36,
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,non-streaming,0.0000,0.0000,835.99,
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,streaming,0.0000,0.0000,911.67,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,non-streaming,0.0000,0.0000,881.29,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,streaming,0.0000,0.0000,867.51,
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,non-streaming,0.0000,0.0000,990.50,
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,streaming,0.0000,0.0000,935.17,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,non-streaming,0.0000,0.0000,817.64,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,streaming,0.0000,0.0000,940.78,
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,non-streaming,0.0000,0.0000,861.63,
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,streaming,0.0000,0.0000,871.04,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,non-streaming,0.0000,0.0000,830.15,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,streaming,0.0000,0.0000,893.11,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,non-streaming,0.0000,0.0000,881.83,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,streaming,0.0000,0.0000,983.44,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,non-streaming,0.0000,0.0000,727.34,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,streaming,0.0000,0.0000,758.47,
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,non-streaming,0.0000,0.0000,880.72,
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,streaming,0.0000,0.0000,977.04,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,non-streaming,0.0000,0.0000,892.77,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,streaming,0.0000,0.0000,957.52,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,non-streaming,0.0000,0.0000,778.38,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,streaming,0.1333,0.0143,880.78,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,non-streaming,0.0000,0.0000,834.02,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,streaming,0.0000,0.0000,915.64,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,non-streaming,0.0000,0.0000,922.85,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,streaming,0.0000,0.0000,953.13,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,non-streaming,0.0000,0.0000,1043.31,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,streaming,0.2121,0.0652,793.75,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,non-streaming,0.0000,0.0000,1010.71,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,streaming,0.0500,0.0050,1034.02,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,non-streaming,0.0000,0.0000,1371.16,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,streaming,0.0000,0.0167,1130.40,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,non-streaming,0.0000,0.0000,1120.79,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,streaming,0.0909,0.0095,1183.24,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,non-streaming,0.0000,0.0000,1127.30,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,streaming,0.1538,0.0302,745.56,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,non-streaming,0.0000,0.0000,968.55,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,streaming,0.1081,0.0148,863.71,
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,15.57,long,non-streaming,0.0000,0.0000,1101.12,
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,15.57,long,streaming,0.1277,0.0308,1098.46,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,non-streaming,0.0000,0.0000,1363.00,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,streaming,0.0000,0.0145,1044.09,
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,15.92,long,non-streaming,0.0000,0.0000,1146.44,
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,15.92,long,streaming,0.0392,0.0041,1244.70,
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,16.02,long,non-streaming,0.0000,0.0000,1202.24,
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,16.02,long,streaming,0.0889,0.0085,1308.41,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,non-streaming,0.0000,0.0000,1396.05,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,streaming,0.0147,0.0294,1074.50,
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,16.74,long,non-streaming,0.0000,0.0000,1099.29,
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,16.74,long,streaming,0.0435,0.0045,1197.87,
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,16.75,long,non-streaming,0.0000,0.0000,1033.72,
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,16.75,long,streaming,0.2000,0.0380,886.54,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,non-streaming,0.0000,0.0000,1434.00,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,streaming,0.0000,0.0000,1503.92,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,non-streaming,0.0000,0.0000,1348.97,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,streaming,0.0417,0.0556,1117.41,
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,16.98,long,non-streaming,0.0000,0.0000,1489.83,
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,16.98,long,streaming,0.1500,0.0176,755.39,
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,17.02,long,non-streaming,0.0000,0.0000,1204.30,
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,17.02,long,streaming,0.0690,0.0074,1228.22,
multiwoz_PMUL4499_turn2,multiwoz,en,PMUL4499,2,238,17.09,long,non-streaming,0.0000,0.0000,1037.44,
multiwoz_PMUL4499_turn2,multiwoz,en,PMUL4499,2,238,17.09,long,streaming,0.1163,0.0172,855.15,
multiwoz_MUL1031_turn2,multiwoz,en,MUL1031,2,243,17.12,long,non-streaming,0.0000,0.0000,1138.92,
multiwoz_MUL1031_turn2,multiwoz,en,MUL1031,2,243,17.12,long,streaming,0.1111,0.0278,925.42,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,non-streaming,0.0000,0.0000,1535.09,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,streaming,0.0000,0.0000,1567.20,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,non-streaming,0.0000,0.0000,1547.48,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,streaming,0.0143,0.0286,1149.71,
multiwoz_MUL1001_turn2,multiwoz,en,MUL1001,2,245,17.38,long,non-streaming,0.0000,0.0000,1230.89,
multiwoz_MUL1001_turn2,multiwoz,en,MUL1001,2,245,17.38,long,streaming,0.0851,0.0082,1310.47,
multiwoz_MUL1320_turn3,multiwoz,en,MUL1320,3,244,17.44,long,non-streaming,0.0000,0.0000,1216.67,
multiwoz_MUL1320_turn3,multiwoz,en,MUL1320,3,244,17.44,long,streaming,0.1600,0.0294,828.80,
multiwoz_MUL1191_turn2,multiwoz,en,MUL1191,2,248,17.54,long,non-streaming,0.0000,0.0000,1192.72,
multiwoz_MUL1191_turn2,multiwoz,en,MUL1191,2,248,17.54,long,streaming,0.0755,0.0080,1297.99,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,non-streaming,0.0000,0.0000,1526.57,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,streaming,0.0128,0.0256,871.49,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,non-streaming,0.0000,0.0000,1495.78,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,streaming,0.0000,0.0000,1599.71,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,non-streaming,0.0000,0.0000,1587.05,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,streaming,0.0000,0.0000,1682.88,
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,non-streaming,0.0000,0.0000,1819.51,
