scope,sample_count,avg_duration_s,wer_mean,wer_std,cer_mean,cer_std
non-streaming,150,19.58,0.0000,0.0000,0.0000,0.0000
streaming,150,19.58,0.0484,0.0601,0.0200,0.0243
multiwoz,74,20.71,0.0895,0.0609,0.0196,0.0206
crosswoz,76,18.49,0.0083,0.0158,0.0203,0.0274
en,74,20.71,0.0895,0.0609,0.0196,0.0206
zh,76,18.49,0.0083,0.0158,0.0203,0.0274
overall,150,19.58,0.0484,0.0601,0.0200,0.0243
