CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ      MHZ
 89    1      1   33 69:69:69:1       yes 3100.0000 800.0000 2319.261
 90    1      1   34 70:70:70:1       yes 3100.0000 800.0000  800.000
 91    1      1   35 71:71:71:1       yes 3100.0000 800.0000 3100.000
 92    1      1   36 72:72:72:1       yes 3100.0000 800.0000  800.000
 93    1      1   37 73:73:73:1       yes 3100.0000 800.0000  800.000
 94    1      1   38 74:74:74:1       yes 3100.0000 800.0000  800.000
 95    1      1   39 75:75:75:1       yes 3100.0000 800.0000  800.000
 96    1      1   40 76:76:76:1       yes 3100.0000 800.0000  800.000
 97    1      1   41 77:77:77:1       yes 3100.0000 800.0000  800.000
 98    1      1   42 78:78:78:1       yes 3100.0000 800.0000 2779.596
 99    1      1   43 79:79:79:1       yes 3100.0000 800.0000 2200.000
100    1      1   44 80:80:80:1       yes 3100.0000 800.0000 1255.417
101    1      1   45 81:81:81:1       yes 3100.0000 800.0000 2613.703
102    1      1   46 82:82:82:1       yes 3100.0000 800.0000  800.000
103    1      1   47 83:83:83:1       yes 3100.0000 800.0000  800.000
104    1      1   48 84:84:84:1       yes 3100.0000 800.0000  800.000
105    1      1   49 85:85:85:1       yes 3100.0000 800.0000  800.000
106    1      1   50 86:86:86:1       yes 3100.0000 800.0000  800.000
107    1      1   51 87:87:87:1       yes 3100.0000 800.0000  800.000
108    1      1   52 88:88:88:1       yes 3100.0000 800.0000  800.000
109    1      1   53 89:89:89:1       yes 3100.0000 800.0000  800.000
110    1      1   54 90:90:90:1       yes 3100.0000 800.0000  800.000
111    1      1   55 91:91:91:1       yes 3100.0000 800.0000 2519.782
