sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_MUL1027_turn1,4.61,short,non-streaming,517.89,474.29,43.60,
multiwoz_PMUL4031_turn1,4.64,short,streaming,698.08,-1765189754517.62,1765189755215.70,
multiwoz_PMUL4031_turn1,4.64,short,non-streaming,585.97,537.94,48.02,
multiwoz_PMUL4612_turn1,4.74,short,streaming,684.51,-1765189764146.76,1765189764831.27,
multiwoz_PMUL4612_turn1,4.74,short,non-streaming,553.27,509.41,43.86,
crosswoz_8202_turn1,4.78,short,streaming,694.84,-1765189773945.14,1765189774639.98,
crosswoz_8202_turn1,4.78,short,non-streaming,691.02,648.05,42.97,
multiwoz_MUL0084_turn1,4.85,short,streaming,818.86,-1765189786376.28,1765189787195.14,
multiwoz_MUL0084_turn1,4.85,short,non-streaming,578.33,532.19,46.13,
multiwoz_MUL1353_turn1,5.08,medium,streaming,735.45,-1765189797326.42,1765189798061.86,
multiwoz_MUL1353_turn1,5.08,medium,non-streaming,609.53,564.71,44.83,
multiwoz_MUL0789_turn1,5.19,medium,streaming,747.67,-1765189807440.99,1765189808188.65,
multiwoz_MUL0789_turn1,5.19,medium,non-streaming,604.25,552.41,51.84,
crosswoz_11334_turn1,5.22,medium,streaming,763.82,-1765189820430.86,1765189821194.68,
crosswoz_11334_turn1,5.22,medium,non-streaming,720.76,674.43,46.33,
multiwoz_PMUL2034_turn1,5.22,medium,streaming,727.79,-1765189830843.25,1765189831571.04,
multiwoz_PMUL2034_turn1,5.22,medium,non-streaming,630.78,588.90,41.88,
multiwoz_MUL2016_turn1,5.24,medium,streaming,607.84,-1765189841145.28,1765189841753.12,
multiwoz_MUL2016_turn1,5.24,medium,non-streaming,580.71,531.56,49.15,
crosswoz_9394_turn1,5.34,medium,streaming,884.66,-1765189851796.33,1765189852680.99,
crosswoz_9394_turn1,5.34,medium,non-streaming,760.52,716.80,43.72,
crosswoz_11735_turn1,5.43,medium,streaming,829.99,-1765189862511.17,1765189863341.16,
crosswoz_11735_turn1,5.43,medium,non-streaming,693.48,642.13,51.35,
multiwoz_PMUL0085_turn1,5.78,medium,streaming,763.00,666.64,96.36,
multiwoz_PMUL0085_turn1,5.78,medium,non-streaming,644.65,601.07,43.58,
multiwoz_MUL2157_turn1,5.86,medium,streaming,776.76,689.24,87.52,
multiwoz_MUL2157_turn1,5.86,medium,non-streaming,622.32,579.22,43.09,
crosswoz_2228_turn1,5.89,medium,streaming,814.77,-1765189897845.03,1765189898659.80,
crosswoz_2228_turn1,5.89,medium,non-streaming,773.04,729.08,43.96,
multiwoz_MUL0176_turn1,5.99,medium,streaming,680.34,-1765189909151.41,1765189909831.76,
multiwoz_MUL0176_turn1,5.99,medium,non-streaming,639.89,599.14,40.75,
crosswoz_10661_turn1,6.06,medium,streaming,863.47,-1765189920818.70,1765189921682.17,
crosswoz_10661_turn1,6.06,medium,non-streaming,803.65,757.41,46.23,
multiwoz_PMUL0271_turn1,6.12,medium,streaming,715.82,-1765189932872.53,1765189933588.35,
multiwoz_PMUL0271_turn1,6.12,medium,non-streaming,671.16,621.20,49.96,
crosswoz_12315_turn1,6.13,medium,streaming,806.24,-1765189944236.96,1765189945043.20,
crosswoz_12315_turn1,6.13,medium,non-streaming,728.45,683.37,45.08,
multiwoz_PMUL2130_turn1,6.21,medium,streaming,774.86,665.25,109.61,
multiwoz_PMUL2130_turn1,6.21,medium,non-streaming,641.67,597.16,44.52,
crosswoz_10197_turn1,6.27,medium,streaming,864.72,-1765190097497.77,1765190098362.49,
crosswoz_10197_turn1,6.27,medium,non-streaming,847.49,801.13,46.35,
crosswoz_8796_turn1,6.29,medium,streaming,961.20,-1765190109921.34,1765190110882.54,
crosswoz_8796_turn1,6.29,medium,non-streaming,878.36,823.30,55.06,
crosswoz_9956_turn1,6.29,medium,streaming,864.04,-1765190122124.17,1765190122988.21,
crosswoz_9956_turn1,6.29,medium,non-streaming,780.10,732.21,47.89,
multiwoz_MUL1001_turn1,6.41,medium,streaming,842.78,754.55,88.23,
multiwoz_MUL1001_turn1,6.41,medium,non-streaming,765.31,716.41,48.90,
crosswoz_8707_turn1,6.44,medium,streaming,976.14,-1765190146765.28,1765190147741.41,
crosswoz_8707_turn1,6.44,medium,non-streaming,813.28,768.43,44.84,
multiwoz_MUL0711_turn1,6.48,medium,streaming,696.61,-1765190158674.99,1765190159371.61,
multiwoz_MUL0711_turn1,6.48,medium,non-streaming,633.99,585.73,48.26,
crosswoz_8436_turn1,6.51,medium,streaming,934.78,834.75,100.03,
crosswoz_8436_turn1,6.51,medium,non-streaming,755.39,710.73,44.66,
crosswoz_7196_turn1,6.64,medium,streaming,931.99,-1765190185907.63,1765190186839.62,
crosswoz_7196_turn1,6.64,medium,non-streaming,789.26,743.91,45.35,
crosswoz_497_turn1,6.85,medium,streaming,1068.46,951.89,116.56,
crosswoz_497_turn1,6.85,medium,non-streaming,992.83,931.42,61.42,
multiwoz_MUL1003_turn1,7.20,medium,streaming,872.70,785.19,87.51,
multiwoz_MUL1003_turn1,7.20,medium,non-streaming,762.35,707.18,55.17,
crosswoz_11613_turn1,7.38,medium,streaming,1050.97,965.88,85.10,
crosswoz_11613_turn1,7.38,medium,non-streaming,873.34,829.76,43.58,
crosswoz_11361_turn1,7.51,medium,streaming,1131.30,1036.77,94.52,
crosswoz_11361_turn1,7.51,medium,non-streaming,960.80,910.34,50.46,
crosswoz_9200_turn1,7.62,medium,streaming,1064.72,941.28,123.44,
crosswoz_9200_turn1,7.62,medium,non-streaming,1071.58,986.04,85.55,
multiwoz_PMUL4885_turn2,7.64,medium,streaming,847.52,748.81,98.71,
multiwoz_PMUL4885_turn2,7.64,medium,non-streaming,776.63,730.87,45.77,
crosswoz_8907_turn1,7.69,medium,streaming,989.69,-1765190290152.23,1765190291141.92,
crosswoz_8907_turn1,7.69,medium,non-streaming,848.60,798.47,50.13,
crosswoz_9365_turn1,7.72,medium,streaming,1005.39,-1765190304410.83,1765190305416.23,
crosswoz_9365_turn1,7.72,medium,non-streaming,911.76,858.43,53.33,
multiwoz_MUL0641_turn1,7.72,medium,streaming,965.19,862.92,102.28,
multiwoz_MUL0641_turn1,7.72,medium,non-streaming,826.69,774.90,51.78,
multiwoz_MUL0076_turn1,7.81,medium,streaming,916.60,822.37,94.23,
multiwoz_MUL0076_turn1,7.81,medium,non-streaming,908.46,863.43,45.02,
crosswoz_9033_turn1,7.89,medium,streaming,994.30,-1765190347510.77,1765190348505.08,
crosswoz_9033_turn1,7.89,medium,non-streaming,884.43,835.79,48.65,
crosswoz_8424_turn1,7.92,medium,streaming,1053.54,946.85,106.69,
crosswoz_8424_turn1,7.92,medium,non-streaming,909.74,852.83,56.91,
multiwoz_PMUL2296_turn1,7.99,medium,streaming,1002.71,-1765190377000.71,1765190378003.42,
multiwoz_PMUL2296_turn1,7.99,medium,non-streaming,811.32,757.38,53.94,
crosswoz_10296_turn1,8.28,medium,streaming,1068.90,-1765190391366.68,1765190392435.58,
crosswoz_10296_turn1,8.28,medium,non-streaming,884.38,840.68,43.69,
crosswoz_10331_turn1,8.28,medium,streaming,1099.94,1011.00,88.94,
crosswoz_10331_turn1,8.28,medium,non-streaming,900.85,854.61,46.24,
multiwoz_MUL1330_turn1,8.56,medium,streaming,960.36,-1765190420954.63,1765190421914.99,
multiwoz_MUL1330_turn1,8.56,medium,non-streaming,818.26,771.69,46.57,
crosswoz_8717_turn1,8.66,medium,streaming,1104.79,1013.32,91.48,
crosswoz_8717_turn1,8.66,medium,non-streaming,947.33,893.16,54.16,
crosswoz_3145_turn1,8.72,medium,streaming,1004.74,-1765190451746.52,1765190452751.26,
crosswoz_3145_turn1,8.72,medium,non-streaming,880.14,831.91,48.24,
crosswoz_9138_turn1,8.73,medium,streaming,1090.98,1002.55,88.43,
crosswoz_9138_turn1,8.73,medium,non-streaming,946.96,899.44,47.52,
crosswoz_11592_turn1,8.89,medium,streaming,1101.78,1008.66,93.13,
crosswoz_11592_turn1,8.89,medium,non-streaming,936.11,875.03,61.07,
crosswoz_7652_turn1,9.01,medium,streaming,1224.72,1128.38,96.34,
crosswoz_7652_turn1,9.01,medium,non-streaming,1058.30,1009.59,48.71,
multiwoz_PMUL3103_turn3,9.11,medium,streaming,931.16,-1765190515708.55,1765190516639.71,
multiwoz_PMUL3103_turn3,9.11,medium,non-streaming,782.49,736.43,46.06,
crosswoz_12011_turn1,9.14,medium,streaming,1113.44,1007.76,105.67,
crosswoz_12011_turn1,9.14,medium,non-streaming,993.73,950.23,43.50,
crosswoz_1101_turn1,9.27,medium,streaming,1136.14,1038.87,97.27,
crosswoz_1101_turn1,9.27,medium,non-streaming,953.98,907.51,46.47,
multiwoz_PMUL2319_turn1,9.27,medium,streaming,879.46,771.86,107.60,
multiwoz_PMUL2319_turn1,9.27,medium,non-streaming,889.02,841.68,47.34,
crosswoz_9173_turn1,9.29,medium,streaming,1051.41,957.78,93.64,
crosswoz_9173_turn1,9.29,medium,non-streaming,886.11,839.25,46.86,
crosswoz_12298_turn1,9.36,medium,streaming,1081.46,996.38,85.07,
crosswoz_12298_turn1,9.36,medium,non-streaming,991.20,944.01,47.19,
multiwoz_MUL0183_turn1,9.36,medium,streaming,898.34,771.27,127.07,
multiwoz_MUL0183_turn1,9.36,medium,non-streaming,796.19,747.73,48.46,
crosswoz_11406_turn1,9.55,medium,streaming,1088.56,1004.12,84.45,
crosswoz_11406_turn1,9.55,medium,non-streaming,978.25,930.60,47.65,
crosswoz_10574_turn1,9.59,medium,streaming,1443.70,1261.39,182.30,
crosswoz_10574_turn1,9.59,medium,non-streaming,925.29,869.71,55.58,
crosswoz_10382_turn1,9.61,medium,streaming,1286.55,1190.87,95.68,
crosswoz_10382_turn1,9.61,medium,non-streaming,1168.41,1101.60,66.81,
crosswoz_10749_turn1,9.61,medium,streaming,1059.89,-1765190683182.77,1765190684242.66,
crosswoz_10749_turn1,9.61,medium,non-streaming,1057.57,1009.89,47.67,
crosswoz_9080_turn1,9.96,medium,streaming,1089.13,-1765190698967.65,1765190700056.78,
crosswoz_9080_turn1,9.96,medium,non-streaming,1032.08,984.39,47.69,
crosswoz_11730_turn1,10.01,medium,streaming,983.92,894.70,89.22,
crosswoz_11730_turn1,10.01,medium,non-streaming,1108.54,994.76,113.79,
multiwoz_MUL1377_turn1,10.01,medium,streaming,1088.37,976.88,111.49,
multiwoz_MUL1377_turn1,10.01,medium,non-streaming,968.59,923.42,45.16,
multiwoz_PMUL0237_turn2,10.24,medium,streaming,688.64,599.61,89.03,
multiwoz_PMUL0237_turn2,10.24,medium,non-streaming,841.18,795.00,46.18,
crosswoz_9577_turn1,10.29,medium,streaming,755.02,668.40,86.62,
crosswoz_9577_turn1,10.29,medium,non-streaming,1025.80,977.81,47.99,
crosswoz_7310_turn1,10.39,medium,streaming,1122.83,1028.87,93.96,
crosswoz_7310_turn1,10.39,medium,non-streaming,966.22,918.60,47.62,
crosswoz_7701_turn1,10.63,medium,streaming,1188.87,-1765190803371.67,1765190804560.54,
crosswoz_7701_turn1,10.63,medium,non-streaming,1048.84,1001.07,47.77,
crosswoz_10040_turn1,10.69,medium,streaming,1349.02,1262.53,86.49,
crosswoz_10040_turn1,10.69,medium,non-streaming,1121.01,1075.46,45.55,
crosswoz_11248_turn1,10.76,medium,streaming,1109.89,1015.10,94.78,
crosswoz_11248_turn1,10.76,medium,non-streaming,1075.53,1025.02,50.51,
multiwoz_PMUL2590_turn2,10.81,medium,streaming,1012.63,924.24,88.39,
multiwoz_PMUL2590_turn2,10.81,medium,non-streaming,1030.34,980.08,50.26,
crosswoz_962_turn1,11.01,medium,streaming,1218.31,1128.77,89.54,
crosswoz_962_turn1,11.01,medium,non-streaming,1105.65,1053.60,52.05,
crosswoz_9275_turn1,11.09,medium,streaming,1212.63,1111.72,100.91,
crosswoz_9275_turn1,11.09,medium,non-streaming,1172.31,1112.82,59.49,
multiwoz_MUL1332_turn2,11.09,medium,streaming,968.70,871.09,97.61,
multiwoz_MUL1332_turn2,11.09,medium,non-streaming,1056.49,996.39,60.10,
crosswoz_12299_turn1,11.21,medium,streaming,1301.66,1215.16,86.50,
crosswoz_12299_turn1,11.21,medium,non-streaming,1106.73,1059.01,47.72,
multiwoz_MUL1320_turn2,11.34,medium,streaming,820.81,717.20,103.61,
multiwoz_MUL1320_turn2,11.34,medium,non-streaming,1014.76,966.08,48.68,
crosswoz_11893_turn1,11.67,medium,streaming,1054.05,960.63,93.42,
crosswoz_11893_turn1,11.67,medium,non-streaming,1077.32,1027.73,49.59,
multiwoz_MUL1203_turn2,12.33,medium,streaming,719.39,605.91,113.48,
multiwoz_MUL1203_turn2,12.33,medium,non-streaming,965.50,923.37,42.14,
multiwoz_PMUL1904_turn2,12.33,medium,streaming,861.34,716.87,144.48,
multiwoz_PMUL1904_turn2,12.33,medium,non-streaming,1029.87,981.92,47.96,
