sample_id,scope,mode,duration_group,wer,cer,wer_s,wer_d,wer_i,wer_n,cer_s,cer_d,cer_i,cer_n,empty
aishell1_S0061_01,aishell1_babble,non-streaming,very_long,0.0920,0.0920,8,0,0,87,8,0,0,87,0
aishell1_S0058_01,aishell1_babble,streaming,very_long,0.1340,0.1340,13,0,0,97,13,0,0,97,0
aishell1_S0058_01,aishell1_babble,non-streaming,very_long,0.1031,0.1031,10,0,0,97,10,0,0,97,0
aishell1_S0055_01,aishell1_babble,streaming,very_long,0.0316,0.0316,3,0,0,95,3,0,0,95,0
aishell1_S0055_01,aishell1_babble,non-streaming,very_long,0.0316,0.0316,3,0,0,95,3,0,0,95,0
aishell1_S0048_01,aishell1_babble,streaming,very_long,0.2637,0.2637,20,3,1,91,20,3,1,91,0
aishell1_S0048_01,aishell1_babble,non-streaming,very_long,0.2967,0.2967,22,3,2,91,22,3,2,91,0
aishell1_S0034_01,aishell1_babble,streaming,very_long,0.2091,0.2091,16,6,1,110,16,6,1,110,0
aishell1_S0034_01,aishell1_babble,non-streaming,very_long,0.2091,0.2091,16,6,1,110,16,6,1,110,0
aishell1_S0050_01,aishell1_babble,streaming,very_long,0.2655,0.2655,18,12,0,113,18,12,0,113,0
aishell1_S0050_01,aishell1_babble,non-streaming,very_long,0.2743,0.2743,19,12,0,113,19,12,0,113,0
aishell1_S0005_01,aishell1_clean,streaming,long,0.0588,0.0588,3,0,0,51,3,0,0,51,0
aishell1_S0005_01,aishell1_clean,non-streaming,long,0.0392,0.0392,1,0,1,51,1,0,1,51,0
aishell1_S0004_01,aishell1_clean,streaming,long,0.0000,0.0000,0,0,0,54,0,0,0,54,0
aishell1_S0004_01,aishell1_clean,non-streaming,long,0.0000,0.0000,0,0,0,54,0,0,0,54,0
aishell1_S0009_01,aishell1_clean,streaming,long,0.0698,0.0698,3,0,0,43,3,0,0,43,0
aishell1_S0009_01,aishell1_clean,non-streaming,long,0.0698,0.0698,3,0,0,43,3,0,0,43,0
aishell1_S0023_01,aishell1_clean,streaming,long,0.2667,0.2667,7,5,0,45,7,5,0,45,0
aishell1_S0023_01,aishell1_clean,non-streaming,long,0.2667,0.2667,7,5,0,45,7,5,0,45,0
aishell1_S0013_01,aishell1_clean,streaming,long,0.1250,0.1250,6,0,0,48,6,0,0,48,0
aishell1_S0013_01,aishell1_clean,non-streaming,long,0.1250,0.1250,6,0,0,48,6,0,0,48,0
aishell1_S0025_01,aishell1_clean,streaming,long,0.0000,0.0000,0,0,0,43,0,0,0,43,0
aishell1_S0025_01,aishell1_clean,non-streaming,long,0.0000,0.0000,0,0,0,43,0,0,0,43,0
aishell1_S0002_01,aishell1_clean,streaming,long,0.1136,0.1136,4,0,1,44,4,0,1,44,0
aishell1_S0002_01,aishell1_clean,non-streaming,long,0.0909,0.0909,3,0,1,44,3,0,1,44,0
aishell1_S0020_01,aishell1_clean,streaming,long,0.1667,0.1667,7,1,0,48,7,1,0,48,0
aishell1_S0020_01,aishell1_clean,non-streaming,long,0.1875,0.1875,8,1,0,48,8,1,0,48,0
aishell1_S0016_01,aishell1_clean,streaming,long,0.0488,0.0488,2,0,0,41,2,0,0,41,0
aishell1_S0016_01,aishell1_clean,non-streaming,long,0.0244,0.0244,1,0,0,41,1,0,0,41,0
aishell1_S0028_01,aishell1_clean,streaming,long,0.0488,0.0488,2,0,0,41,2,0,0,41,0
aishell1_S0028_01,aishell1_clean,non-streaming,long,0.0244,0.0244,1,0,0,41,1,0,0,41,0
aishell1_S0027_01,aishell1_clean,streaming,long,0.0238,0.0238,1,0,0,42,1,0,0,42,0
aishell1_S0027_01,aishell1_clean,non-streaming,long,0.0238,0.0238,1,0,0,42,1,0,0,42,0
aishell1_S0014_01,aishell1_clean,streaming,long,0.1053,0.1053,3,1,0,38,3,1,0,38,0
aishell1_S0014_01,aishell1_clean,non-streaming,long,0.1053,0.1053,3,1,0,38,3,1,0,38,0
aishell1_S0011_01,aishell1_clean,streaming,long,0.0000,0.0000,0,0,0,55,0,0,0,55,0
aishell1_S0011_01,aishell1_clean,non-streaming,long,0.0000,0.0000,0,0,0,55,0,0,0,55,0
aishell1_S0018_01,aishell1_clean,streaming,long,0.0556,0.0556,3,0,0,54,3,0,0,54,0
aishell1_S0018_01,aishell1_clean,non-streaming,long,0.0741,0.0741,4,0,0,54,4,0,0,54,0
aishell1_S0026_01,aishell1_clean,streaming,long,0.2462,0.2462,10,6,0,65,10,6,0,65,0
aishell1_S0026_01,aishell1_clean,non-streaming,long,0.2462,0.2462,10,6,0,65,10,6,0,65,0
aishell1_S0008_01,aishell1_clean,streaming,long,0.1020,0.1020,5,0,0,49,5,0,0,49,0
aishell1_S0008_01,aishell1_clean,non-streaming,long,0.1020,0.1020,5,0,0,49,5,0,0,49,0
aishell1_S0006_01,aishell1_clean,streaming,long,0.4528,0.4528,13,11,0,53,13,11,0,53,0
aishell1_S0006_01,aishell1_clean,non-streaming,long,0.4528,0.4528,13,11,0,53,13,11,0,53,0
aishell1_S0021_01,aishell1_clean,streaming,long,0.0784,0.0784,3,0,1,51,3,0,1,51,0
aishell1_S0021_01,aishell1_clean,non-streaming,long,0.0588,0.0588,3,0,0,51,3,0,0,51,0
aishell1_S0019_01,aishell1_clean,streaming,long,0.0556,0.0556,3,0,0,54,3,0,0,54,0
aishell1_S0019_01,aishell1_clean,non-streaming,long,0.0370,0.0370,2,0,0,54,2,0,0,54,0
aishell1_S0030_01,aishell1_clean,streaming,long,0.0784,0.0784,4,0,0,51,4,0,0,51,0
aishell1_S0030_01,aishell1_clean,non-streaming,long,0.0980,0.0980,5,0,0,51,5,0,0,51,0
aishell1_S0017_01,aishell1_clean,streaming,long,0.0377,0.0377,1,0,1,53,1,0,1,53,0
aishell1_S0017_01,aishell1_clean,non-streaming,long,0.0000,0.0000,0,0,0,53,0,0,0,53,0
aishell1_S0024_01,aishell1_clean,streaming,long,0.0492,0.0492,2,0,1,61,2,0,1,61,0
aishell1_S0024_01,aishell1_clean,non-streaming,long,0.0328,0.0328,2,0,0,61,2,0,0,61,0
aishell1_S0029_01,aishell1_clean,streaming,long,0.1475,0.1475,8,0,1,61,8,0,1,61,0
aishell1_S0029_01,aishell1_clean,non-streaming,long,0.1475,0.1475,8,0,1,61,8,0,1,61,0
aishell1_S0015_01,aishell1_clean,streaming,long,0.1071,0.1071,5,0,1,56,5,0,1,56,0
aishell1_S0015_01,aishell1_clean,non-streaming,long,0.0893,0.0893,5,0,0,56,5,0,0,56,0
aishell1_S0010_01,aishell1_clean,streaming,long,0.0000,0.0000,0,0,0,55,0,0,0,55,0
aishell1_S0010_01,aishell1_clean,non-streaming,long,0.0000,0.0000,0,0,0,55,0,0,0,55,0
aishell1_S0022_01,aishell1_clean,streaming,long,0.1818,0.1818,11,1,0,66,11,1,0,66,0
aishell1_S0022_01,aishell1_clean,non-streaming,long,0.1667,0.1667,10,1,0,66,10,1,0,66,0
aishell1_S0012_01,aishell1_clean,streaming,long,0.0877,0.0877,5,0,0,57,5,0,0,57,0
aishell1_S0012_01,aishell1_clean,non-streaming,long,0.1053,0.1053,6,0,0,57,6,0,0,57,0
