scope,mode,duration_group,n,ttft_mean,ttft_std,ttft_p50,ttft_p95
librispeech_snr20,non-streaming,very_long,15,2913.4,190.1,2957.1,3173.2
librispeech_snr20,non-streaming,overall,30,2228.8,705.1,2149.1,3157.6
librispeech_snr20,streaming,long,15,1601.6,537.9,1511.8,2769.1
librispeech_snr20,streaming,very_long,15,1664.5,508.9,1523.6,2517.4
librispeech_snr20,streaming,overall,30,1633.1,524.6,1517.7,2795.5
librispeech_speed09,non-streaming,long,15,1797.6,395.8,1687.0,2451.4
librispeech_speed09,non-streaming,very_long,15,2886.1,392.5,2881.0,3665.5
librispeech_speed09,non-streaming,overall,30,2341.8,672.0,2415.0,3401.2
librispeech_speed09,streaming,long,15,1625.3,583.3,1377.2,2816.4
librispeech_speed09,streaming,very_long,15,1579.4,377.1,1582.5,2161.2
librispeech_speed09,streaming,overall,30,1602.4,491.7,1396.7,2573.6
librispeech_speed11,non-streaming,long,13,1842.5,492.4,1667.2,2717.7
librispeech_speed11,non-streaming,very_long,12,2886.7,408.6,2798.0,3511.2
librispeech_speed11,non-streaming,medium,5,1371.8,76.1,1374.7,1478.1
librispeech_speed11,non-streaming,overall,30,2181.7,728.6,2217.5,3109.8
librispeech_speed11,streaming,long,13,1668.6,415.5,1616.6,2300.1
librispeech_speed11,streaming,very_long,12,1712.7,521.6,1456.4,2572.2
librispeech_speed11,streaming,medium,5,1493.5,160.1,1450.5,1727.1
librispeech_speed11,streaming,overall,30,1657.0,440.0,1568.4,2538.5
ALL,non-streaming,long,243,1661.5,288.6,1616.0,2263.5
ALL,non-streaming,very_long,229,2945.5,273.6,2933.9,3371.5
ALL,non-streaming,extra_long,30,4972.5,434.9,4971.2,5622.4
ALL,non-streaming,medium,8,1423.0,98.8,1405.6,1558.7
ALL,non-streaming,overall,510,2429.1,938.9,2527.6,4483.5
ALL,streaming,long,243,1683.3,501.5,1613.0,2660.0
ALL,streaming,very_long,229,1928.5,1552.8,1594.4,3369.0
ALL,streaming,extra_long,30,1661.0,410.5,1644.3,2392.0
ALL,streaming,medium,8,1537.9,158.3,1491.2,1756.5
ALL,streaming,overall,510,1789.8,1108.5,1610.4,2824.5
