group,sample_count,avg_duration_s,streaming_ttft_mean_ms,streaming_ttft_std_ms,non_streaming_ttft_mean_ms,non_streaming_ttft_std_ms,improvement_ms,improvement_ratio_%
long,15,17.54,1562.33,409.18,1605.95,152.20,43.62,2.7
very_long,15,32.74,1698.94,342.52,2975.12,186.28,1276.18,42.9
