mode,n_samples,cv_mean_pct,cv_median_pct,cv_p90_pct,cv_max_pct,n_cv_gt5,pct_cv_gt5,std_definition
streaming,50,5.1935,4.0492,10.7303,18.9577,19,38.00,"per-sample std over 3 rounds, ddof=1"
non-streaming,50,5.2317,4.6530,9.9213,14.0090,23,46.00,"per-sample std over 3 rounds, ddof=1"
