sample_id,mode,ttft_r1,ttft_r2,ttft_r3,ttft_mean,ttft_std_ddof1,cv_pct
multiwoz_PMUL0271_turn3,streaming,1367.978,1459.103,1646.573,1491.218,142.047,9.5256
multiwoz_PMUL1745_turn5,non-streaming,3750.440,3751.935,3691.883,3731.419,34.248,0.9178
multiwoz_PMUL1745_turn5,streaming,1339.858,1255.408,1233.118,1276.128,56.306,4.4122
multiwoz_PMUL1745_turn6,non-streaming,4749.762,4715.595,4876.961,4780.773,85.035,1.7787
multiwoz_PMUL1745_turn6,streaming,1383.047,1403.739,1433.180,1406.655,25.193,1.7910
multiwoz_PMUL2130_turn4,non-streaming,3306.959,3490.037,3401.091,3399.362,91.551,2.6932
multiwoz_PMUL2130_turn4,streaming,1071.977,1135.317,1092.755,1100.017,32.288,2.9353
multiwoz_PMUL2296_turn4,non-streaming,3540.496,3497.262,3495.255,3511.004,25.560,0.7280
multiwoz_PMUL2296_turn4,streaming,2310.657,2259.702,2450.579,2340.313,98.834,4.2231
multiwoz_PMUL2590_turn4,non-streaming,2726.737,2736.752,3132.637,2865.375,231.510,8.0796
multiwoz_PMUL2590_turn4,streaming,2207.668,2388.517,2661.623,2419.269,228.534,9.4464
multiwoz_PMUL2590_turn5,non-streaming,3192.382,3274.733,3330.942,3266.019,69.690,2.1338
multiwoz_PMUL2590_turn5,streaming,1258.967,1213.985,1393.003,1288.652,93.128,7.2268
multiwoz_PMUL2936_turn4,non-streaming,2613.233,2916.814,2591.468,2707.171,181.881,6.7185
multiwoz_PMUL2936_turn4,streaming,1699.360,1596.896,1506.453,1600.903,96.516,6.0288
multiwoz_PMUL3103_turn5,non-streaming,3652.541,3589.561,4205.496,3815.866,338.896,8.8812
multiwoz_PMUL3103_turn5,streaming,1110.279,1159.302,1197.508,1155.696,43.726,3.7836
multiwoz_PMUL3103_turn6,non-streaming,3891.714,3927.800,3930.557,3916.691,21.674,0.5534
multiwoz_PMUL3103_turn6,streaming,1890.592,1918.368,1678.635,1829.198,131.129,7.1687
multiwoz_PMUL4031_turn4,non-streaming,2971.092,3404.822,2899.366,3091.760,273.481,8.8455
multiwoz_PMUL4031_turn4,streaming,1596.320,1907.834,1576.008,1693.387,185.994,10.9835
multiwoz_PMUL4031_turn5,non-streaming,5016.702,5122.769,4548.932,4896.134,305.327,6.2361
multiwoz_PMUL4031_turn5,streaming,1176.344,1310.985,1166.311,1217.880,80.787,6.6334
multiwoz_PMUL4612_turn4,non-streaming,3306.889,3945.966,3343.159,3532.005,358.959,10.1630
multiwoz_PMUL4612_turn4,streaming,1245.770,1269.104,1239.341,1251.405,15.661,1.2515
multiwoz_PMUL4612_turn5,non-streaming,3495.513,3669.530,3466.229,3543.757,109.902,3.1013
multiwoz_PMUL4612_turn5,streaming,1454.100,1384.565,1427.656,1422.107,35.098,2.4680
