sample_id,mode,n_valid,cv_pct,note
crosswoz_7701_turn3,non-streaming,1,,缺轮次
crosswoz_7701_turn3,streaming,1,,缺轮次
crosswoz_8672_turn3,streaming,1,,缺轮次
multiwoz_PMUL0271_turn3,non-streaming,1,,缺轮次
multiwoz_PMUL0271_turn3,streaming,1,,缺轮次
