scope,mode,n,n_empty,wer_mean,wer_std,cer_mean,cer_std,wer_corpus,cer_corpus,wer_S,wer_D,wer_I,wer_N,cer_S,cer_D,cer_I,cer_N
crosswoz,non-streaming,336,0,0.0674,0.0370,0.0674,0.0370,0.0687,0.0687,4688,914,651,91080,4688,914,651,91080
crosswoz,la_streaming,336,0,0.0835,0.0664,0.0835,0.0664,0.0885,0.0885,5031,2348,683,91080,5031,2348,683,91080
crosswoz,streaming,336,0,0.0732,0.0379,0.0732,0.0379,0.0750,0.0750,5099,938,793,91080,5099,938,793,91080
multiwoz,non-streaming,162,0,0.1527,0.0718,0.0857,0.0476,0.1631,0.0949,1314,400,1113,17332,1618,1762,5002,88355
multiwoz,la_streaming,162,0,0.1566,0.0755,0.0894,0.0509,0.1670,0.0996,1345,430,1119,17332,1650,1961,5189,88355
multiwoz,streaming,162,0,0.1702,0.0682,0.0876,0.0464,0.1771,0.0962,1491,533,1046,17332,1682,1918,4901,88355
ALL,non-streaming,498,0,0.0951,0.0648,0.0733,0.0416,0.0838,0.0816,6002,1314,1764,108412,6306,2676,5653,179435
ALL,la_streaming,498,0,0.1073,0.0775,0.0854,0.0618,0.1011,0.0940,6376,2778,1802,108412,6681,4309,5872,179435
ALL,streaming,498,0,0.1047,0.0674,0.0779,0.0414,0.0913,0.0854,6590,1471,1839,108412,6781,2856,5694,179435
