group,sample_count,avg_duration_s,baseline_ttft_mean_ms,streaming_asr_ttft_mean_ms,full_streaming_ttft_mean_ms,asr_gain_ms,kv_gain_ms,total_gain_ms,total_gain_ratio_%
long,121,22.16,1698.10,1075.47,1101.66,622.63,-26.19,596.44,35.1
very_long,208,45.21,3290.07,1134.80,1142.09,2155.28,-7.30,2147.98,65.3
