sample_id,dataset,language,dialog_id,turn_index,text_length,duration_group,audio_duration_s,baseline_ttft_ms,streaming_asr_ttft_ms,full_streaming_ttft_ms,asr_gain_ms,kv_gain_ms,total_gain_ms,total_gain_ratio_%
multiwoz_PMUL2590_turn5,multiwoz,en,PMUL2590,5,600,very_long,43.50,2578.45,787.19,765.26,1791.26,21.93,1813.19,70.3
multiwoz_PMUL0085_turn4,multiwoz,en,PMUL0085,4,567,very_long,43.58,2780.95,1051.82,1061.08,1729.13,-9.26,1719.87,61.8
multiwoz_PMUL2296_turn4,multiwoz,en,PMUL2296,4,686,very_long,43.66,2807.21,1530.05,1418.04,1277.16,112.00,1389.16,49.5
multiwoz_MUL0023_turn4,multiwoz,en,MUL0023,4,582,very_long,43.92,2649.16,725.21,731.94,1923.96,-6.73,1917.22,72.4
multiwoz_PMUL4885_turn5,multiwoz,en,PMUL4885,5,575,very_long,44.47,2813.24,1196.08,1221.57,1617.16,-25.49,1591.67,56.6
multiwoz_PMUL4612_turn6,multiwoz,en,PMUL4612,6,782,extra_long,60.05,3723.04,984.73,971.19,2738.31,13.54,2751.85,73.9
multiwoz_PMUL0271_turn5,multiwoz,en,PMUL0271,5,836,extra_long,60.13,3980.08,1177.30,1117.30,2802.78,60.00,2862.78,71.9
multiwoz_MUL1031_turn6,multiwoz,en,MUL1031,6,898,extra_long,60.26,3730.10,738.38,703.92,2991.73,34.45,3026.18,81.1
multiwoz_PMUL4885_turn6,multiwoz,en,PMUL4885,6,768,extra_long,60.43,4088.90,1991.62,1940.36,2097.27,51.26,2148.53,52.5
multiwoz_MUL2016_turn5,multiwoz,en,MUL2016,5,805,extra_long,60.72,3657.37,1482.26,1462.71,2175.11,19.55,2194.66,60.0
multiwoz_PMUL0322_turn7,multiwoz,en,PMUL0322,7,801,extra_long,60.79,3899.84,851.53,826.59,3048.32,24.94,3073.26,78.8
multiwoz_MUL2157_turn5,multiwoz,en,MUL2157,5,729,extra_long,60.84,3649.63,939.55,917.28,2710.08,22.27,2732.35,74.9
multiwoz_MUL0711_turn7,multiwoz,en,MUL0711,7,1022,extra_long,61.10,3739.48,1941.39,2085.96,1798.09,-144.57,1653.52,44.2
multiwoz_MUL0176_turn6,multiwoz,en,MUL0176,6,850,extra_long,61.22,4083.63,902.61,870.64,3181.02,31.97,3212.99,78.7
multiwoz_MUL0666_turn6,multiwoz,en,MUL0666,6,848,extra_long,61.31,3535.92,1077.62,1071.91,2458.31,5.71,2464.01,69.7
multiwoz_MUL1353_turn5,multiwoz,en,MUL1353,5,783,extra_long,61.80,3782.11,1280.15,1303.50,2501.97,-23.36,2478.61,65.5
multiwoz_MUL1001_turn6,multiwoz,en,MUL1001,6,918,extra_long,61.89,3854.98,1261.66,1253.98,2593.33,7.67,2601.00,67.5
multiwoz_MUL0789_turn5,multiwoz,en,MUL0789,5,809,extra_long,61.94,3623.85,724.06,711.03,2899.79,13.03,2912.82,80.4
multiwoz_MUL0084_turn6,multiwoz,en,MUL0084,6,843,extra_long,62.45,3836.97,2143.17,2100.94,1693.80,42.23,1736.03,45.2
multiwoz_PMUL0460_turn5,multiwoz,en,PMUL0460,5,798,extra_long,62.47,3728.77,999.37,1012.82,2729.40,-13.45,2715.95,72.8
multiwoz_MUL1459_turn6,multiwoz,en,MUL1459,6,843,extra_long,62.57,4401.67,962.85,966.57,3438.82,-3.71,3435.11,78.0
multiwoz_MUL0711_turn6,multiwoz,en,MUL0711,6,811,extra_long,62.64,3547.31,788.45,764.58,2758.86,23.87,2782.73,78.4
multiwoz_MUL0641_turn5,multiwoz,en,MUL0641,5,773,extra_long,62.77,3984.63,1032.43,989.47,2952.20,42.96,2995.16,75.2
multiwoz_MUL1377_turn4,multiwoz,en,MUL1377,4,755,extra_long,62.84,3857.77,899.51,863.21,2958.26,36.29,2994.55,77.6
multiwoz_PMUL4499_turn6,multiwoz,en,PMUL4499,6,861,extra_long,63.08,3964.95,1244.97,1201.79,2719.98,43.18,2763.16,69.7
multiwoz_PMUL2034_turn4,multiwoz,en,PMUL2034,4,778,extra_long,63.31,3900.95,785.18,739.91,3115.77,45.27,3161.04,81.0
multiwoz_MUL1215_turn6,multiwoz,en,MUL1215,6,818,extra_long,63.36,4347.85,981.15,941.34,3366.70,39.81,3406.51,78.3
multiwoz_MUL1332_turn7,multiwoz,en,MUL1332,7,855,extra_long,63.53,3845.43,1210.80,1187.59,2634.64,23.20,2657.84,69.1
multiwoz_PMUL2034_turn5,multiwoz,en,PMUL2034,5,887,extra_long,63.60,3787.70,1213.52,1201.68,2574.18,11.84,2586.02,68.3
multiwoz_PMUL1904_turn7,multiwoz,en,PMUL1904,7,854,extra_long,63.72,4149.75,1787.19,1783.40,2362.56,3.79,2366.35,57.0
multiwoz_MUL1330_turn5,multiwoz,en,MUL1330,5,871,extra_long,64.04,3833.08,1041.08,1001.82,2792.00,39.27,2831.27,73.9
multiwoz_MUL0069_turn6,multiwoz,en,MUL0069,6,846,extra_long,64.09,3593.25,858.93,840.60,2734.32,18.32,2752.65,76.6
multiwoz_MUL1320_turn8,multiwoz,en,MUL1320,8,1004,extra_long,64.75,4405.18,817.83,805.06,3587.34,12.77,3600.11,81.7
