sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,baseline,1049.89,991.91,57.98,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,streaming_asr_only,780.43,717.26,63.17,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,full_streaming,909.40,820.82,88.58,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,baseline,1092.19,1034.57,57.62,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,streaming_asr_only,1130.82,1080.79,50.04,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,full_streaming,1171.62,1055.00,116.62,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,baseline,1402.16,1356.94,45.22,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,streaming_asr_only,991.68,934.70,56.98,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,full_streaming,1039.84,938.42,101.41,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,baseline,1172.53,1127.41,45.13,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,streaming_asr_only,970.91,909.21,61.70,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,full_streaming,927.15,824.78,102.38,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,baseline,1173.67,1114.73,58.94,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,streaming_asr_only,719.24,643.01,76.23,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,full_streaming,645.98,553.76,92.22,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,baseline,1039.57,993.88,45.69,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,streaming_asr_only,833.49,759.79,73.70,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,full_streaming,865.27,763.52,101.75,
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,15.57,long,baseline,1192.53,1134.17,58.36,
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,15.57,long,streaming_asr_only,824.20,751.38,72.82,
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,15.57,long,full_streaming,849.07,746.67,102.41,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,baseline,1420.25,1373.91,46.33,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,streaming_asr_only,817.60,743.18,74.42,
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,15.85,long,full_streaming,824.03,737.70,86.33,
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,15.92,long,baseline,1177.25,1130.98,46.28,
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,15.92,long,streaming_asr_only,1359.01,1297.37,61.64,
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,15.92,long,full_streaming,1369.13,1221.85,147.28,
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,16.02,long,baseline,1229.32,1183.16,46.16,
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,16.02,long,streaming_asr_only,870.00,811.86,58.14,
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,16.02,long,full_streaming,970.06,863.48,106.58,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,baseline,1455.88,1396.22,59.66,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,streaming_asr_only,927.91,849.96,77.95,
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,16.20,long,full_streaming,951.61,849.69,101.91,
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,16.74,long,baseline,1197.65,1141.20,56.45,
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,16.74,long,streaming_asr_only,1300.65,1237.26,63.40,
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,16.74,long,full_streaming,1280.72,1174.13,106.59,
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,16.75,long,baseline,1080.41,1034.55,45.86,
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,16.75,long,streaming_asr_only,828.43,760.47,67.96,
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,16.75,long,full_streaming,897.70,812.26,85.45,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,baseline,1720.85,1662.16,58.69,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,streaming_asr_only,1563.50,1500.53,62.97,
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,16.93,long,full_streaming,1609.57,1499.51,110.07,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,baseline,1443.07,1385.24,57.83,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,streaming_asr_only,1013.37,942.35,71.02,
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,16.93,long,full_streaming,1005.26,901.55,103.72,
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,16.98,long,baseline,1594.27,1537.98,56.28,
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,16.98,long,streaming_asr_only,768.48,681.76,86.72,
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,16.98,long,full_streaming,733.17,642.59,90.58,
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,17.02,long,baseline,1268.84,1220.59,48.26,
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,17.02,long,streaming_asr_only,1205.63,1136.63,68.99,
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,17.02,long,full_streaming,1214.44,1110.74,103.70,
multiwoz_PMUL4499_turn2,multiwoz,en,PMUL4499,2,238,17.09,long,baseline,1087.77,1030.48,57.29,
multiwoz_PMUL4499_turn2,multiwoz,en,PMUL4499,2,238,17.09,long,streaming_asr_only,849.13,785.06,64.07,
multiwoz_PMUL4499_turn2,multiwoz,en,PMUL4499,2,238,17.09,long,full_streaming,862.39,776.15,86.24,
multiwoz_MUL1031_turn2,multiwoz,en,MUL1031,2,243,17.12,long,baseline,1193.69,1136.86,56.83,
multiwoz_MUL1031_turn2,multiwoz,en,MUL1031,2,243,17.12,long,streaming_asr_only,724.86,659.43,65.43,
multiwoz_MUL1031_turn2,multiwoz,en,MUL1031,2,243,17.12,long,full_streaming,824.31,716.93,107.38,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,baseline,1564.77,1518.82,45.95,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,streaming_asr_only,1028.76,970.56,58.20,
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,17.28,long,full_streaming,1064.71,976.37,88.34,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,baseline,1615.67,1560.14,55.54,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,streaming_asr_only,786.94,718.97,67.97,
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,17.37,long,full_streaming,820.48,737.64,82.85,
multiwoz_MUL1001_turn2,multiwoz,en,MUL1001,2,245,17.38,long,baseline,1255.64,1210.05,45.59,
multiwoz_MUL1001_turn2,multiwoz,en,MUL1001,2,245,17.38,long,streaming_asr_only,1169.30,1089.22,80.08,
multiwoz_MUL1001_turn2,multiwoz,en,MUL1001,2,245,17.38,long,full_streaming,1168.84,1083.95,84.89,
multiwoz_MUL1320_turn3,multiwoz,en,MUL1320,3,244,17.44,long,baseline,1278.11,1220.38,57.73,
multiwoz_MUL1320_turn3,multiwoz,en,MUL1320,3,244,17.44,long,streaming_asr_only,694.30,629.18,65.12,
multiwoz_MUL1320_turn3,multiwoz,en,MUL1320,3,244,17.44,long,full_streaming,737.24,651.71,85.53,
multiwoz_MUL1191_turn2,multiwoz,en,MUL1191,2,248,17.54,long,baseline,1244.63,1199.87,44.76,
multiwoz_MUL1191_turn2,multiwoz,en,MUL1191,2,248,17.54,long,streaming_asr_only,1135.31,1070.74,64.57,
multiwoz_MUL1191_turn2,multiwoz,en,MUL1191,2,248,17.54,long,full_streaming,1178.53,1092.72,85.81,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,baseline,1554.15,1508.50,45.65,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,streaming_asr_only,756.56,691.75,64.81,
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,17.61,long,full_streaming,792.43,705.24,87.18,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,baseline,1598.06,1541.09,56.97,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,streaming_asr_only,1406.31,1331.48,74.83,
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,17.80,long,full_streaming,1397.21,1306.20,91.01,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,baseline,1661.14,1616.01,45.13,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,streaming_asr_only,1799.12,1735.80,63.32,
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,18.02,long,full_streaming,1913.25,1794.72,118.53,
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,baseline,1537.19,1477.83,59.36,
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,streaming_asr_only,977.68,910.67,67.01,
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,18.11,long,full_streaming,1007.48,919.38,88.10,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,baseline,1604.46,1547.48,56.98,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,streaming_asr_only,668.47,601.19,67.28,
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,18.11,long,full_streaming,651.76,567.14,84.62,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,baseline,1517.36,1460.22,57.13,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,streaming_asr_only,983.52,914.76,68.76,
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,18.34,long,full_streaming,1023.71,937.82,85.89,
multiwoz_MUL1459_turn2,multiwoz,en,MUL1459,2,285,18.38,long,baseline,1383.21,1337.81,45.40,
multiwoz_MUL1459_turn2,multiwoz,en,MUL1459,2,285,18.38,long,streaming_asr_only,910.18,841.81,68.37,
multiwoz_MUL1459_turn2,multiwoz,en,MUL1459,2,285,18.38,long,full_streaming,922.98,833.49,89.48,
multiwoz_PMUL2175_turn2,multiwoz,en,PMUL2175,2,289,18.65,long,baseline,1268.38,1209.24,59.14,
multiwoz_PMUL2175_turn2,multiwoz,en,PMUL2175,2,289,18.65,long,streaming_asr_only,1059.53,1003.24,56.29,
multiwoz_PMUL2175_turn2,multiwoz,en,PMUL2175,2,289,18.65,long,full_streaming,1129.67,1022.49,107.18,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,baseline,1558.53,1499.73,58.80,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,streaming_asr_only,744.34,681.07,63.27,
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,18.89,long,full_streaming,771.97,684.42,87.55,
multiwoz_MUL2157_turn2,multiwoz,en,MUL2157,2,269,18.92,long,baseline,1412.94,1367.36,45.59,
multiwoz_MUL2157_turn2,multiwoz,en,MUL2157,2,269,18.92,long,streaming_asr_only,979.37,915.77,63.59,
multiwoz_MUL2157_turn2,multiwoz,en,MUL2157,2,269,18.92,long,full_streaming,1008.37,919.56,88.81,
multiwoz_MUL1330_turn2,multiwoz,en,MUL1330,2,302,18.99,long,baseline,1332.75,1275.62,57.13,
multiwoz_MUL1330_turn2,multiwoz,en,MUL1330,2,302,18.99,long,streaming_asr_only,1414.37,1351.65,62.72,
multiwoz_MUL1330_turn2,multiwoz,en,MUL1330,2,302,18.99,long,full_streaming,1548.26,1445.69,102.57,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,baseline,1786.20,1724.14,62.05,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,streaming_asr_only,1530.13,1464.72,65.41,
crosswoz_497_turn2,crosswoz,zh,497,2,98,19.02,long,full_streaming,1537.26,1436.30,100.96,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,baseline,1674.66,1630.16,44.50,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,streaming_asr_only,1773.18,1703.67,69.51,
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,19.05,long,full_streaming,1794.46,1669.57,124.89,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,baseline,1623.53,1565.50,58.03,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,streaming_asr_only,1107.10,1035.72,71.38,
crosswoz_962_turn2,crosswoz,zh,962,2,93,19.21,long,full_streaming,1004.72,918.97,85.75,
multiwoz_MUL1003_turn3,multiwoz,en,MUL1003,3,297,19.24,long,baseline,1405.59,1359.47,46.11,
multiwoz_MUL1003_turn3,multiwoz,en,MUL1003,3,297,19.24,long,streaming_asr_only,794.23,731.00,63.23,
multiwoz_MUL1003_turn3,multiwoz,en,MUL1003,3,297,19.24,long,full_streaming,829.19,741.32,87.87,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,baseline,1709.73,1652.84,56.89,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,streaming_asr_only,922.32,857.22,65.11,
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,19.46,long,full_streaming,892.88,805.00,87.88,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,baseline,1557.27,1499.63,57.64,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,streaming_asr_only,1269.40,1204.46,64.95,
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,19.47,long,full_streaming,1210.41,1109.87,100.54,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,baseline,1677.37,1618.16,59.20,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,streaming_asr_only,1187.09,1130.96,56.12,
crosswoz_422_turn2,crosswoz,zh,422,2,98,19.48,long,full_streaming,1280.02,1189.80,90.23,
multiwoz_MUL0789_turn2,multiwoz,en,MUL0789,2,256,19.52,long,baseline,1429.25,1371.64,57.61,
multiwoz_MUL0789_turn2,multiwoz,en,MUL0789,2,256,19.52,long,streaming_asr_only,869.17,791.81,77.36,
multiwoz_MUL0789_turn2,multiwoz,en,MUL0789,2,256,19.52,long,full_streaming,858.34,772.83,85.51,
multiwoz_PMUL0322_turn3,multiwoz,en,PMUL0322,3,283,19.80,long,baseline,1508.93,1445.32,63.61,
multiwoz_PMUL0322_turn3,multiwoz,en,PMUL0322,3,283,19.80,long,streaming_asr_only,811.00,746.73,64.27,
multiwoz_PMUL0322_turn3,multiwoz,en,PMUL0322,3,283,19.80,long,full_streaming,768.15,683.64,84.51,
multiwoz_MUL0711_turn2,multiwoz,en,MUL0711,2,262,19.82,long,baseline,1291.33,1233.91,57.42,
multiwoz_MUL0711_turn2,multiwoz,en,MUL0711,2,262,19.82,long,streaming_asr_only,1016.79,955.33,61.46,
multiwoz_MUL0711_turn2,multiwoz,en,MUL0711,2,262,19.82,long,full_streaming,1127.91,1043.29,84.62,
