sample_id,dataset,language,dialog_id,turn_index,text_length,duration_group,audio_duration_s,baseline_ttft_ms,streaming_asr_ttft_ms,full_streaming_ttft_ms,asr_gain_ms,kv_gain_ms,total_gain_ms,total_gain_ratio_%
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,long,15.05,1049.89,780.43,909.40,269.46,-128.97,140.50,13.4
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,long,15.34,1092.19,1130.82,1171.62,-38.64,-40.79,-79.43,-7.3
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,long,15.39,1402.16,991.68,1039.84,410.47,-48.15,362.32,25.8
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,long,15.44,1172.53,970.91,927.15,201.63,43.76,245.38,20.9
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,long,15.46,1173.67,719.24,645.98,454.43,73.26,527.69,45.0
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,long,15.53,1039.57,833.49,865.27,206.08,-31.78,174.30,16.8
multiwoz_PMUL0460_turn2,multiwoz,en,PMUL0460,2,208,long,15.57,1192.53,824.20,849.07,368.33,-24.88,343.45,28.8
crosswoz_11735_turn2,crosswoz,zh,11735,2,75,long,15.85,1420.25,817.60,824.03,602.64,-6.43,596.21,42.0
multiwoz_PMUL4612_turn2,multiwoz,en,PMUL4612,2,253,long,15.92,1177.25,1359.01,1369.13,-181.76,-10.12,-191.87,-16.3
multiwoz_MUL0076_turn2,multiwoz,en,MUL0076,2,248,long,16.02,1229.32,870.00,970.06,359.32,-100.06,259.26,21.1
crosswoz_9200_turn2,crosswoz,zh,9200,2,80,long,16.20,1455.88,927.91,951.61,527.96,-23.69,504.27,34.6
multiwoz_PMUL3103_turn2,multiwoz,en,PMUL3103,2,195,long,16.74,1197.65,1300.65,1280.72,-103.00,19.94,-83.07,-6.9
multiwoz_MUL2016_turn2,multiwoz,en,MUL2016,2,231,long,16.75,1080.41,828.43,897.70,251.99,-69.28,182.71,16.9
crosswoz_12315_turn2,crosswoz,zh,12315,2,85,long,16.93,1720.85,1563.50,1609.57,157.35,-46.07,111.28,6.5
crosswoz_9365_turn2,crosswoz,zh,9365,2,87,long,16.93,1443.07,1013.37,1005.26,429.70,8.11,437.81,30.3
multiwoz_PMUL0237_turn3,multiwoz,en,PMUL0237,3,238,long,16.98,1594.27,768.48,733.17,825.78,35.31,861.10,54.0
multiwoz_PMUL2319_turn2,multiwoz,en,PMUL2319,2,278,long,17.02,1268.84,1205.63,1214.44,63.22,-8.82,54.40,4.3
multiwoz_PMUL4499_turn2,multiwoz,en,PMUL4499,2,238,long,17.09,1087.77,849.13,862.39,238.64,-13.26,225.38,20.7
multiwoz_MUL1031_turn2,multiwoz,en,MUL1031,2,243,long,17.12,1193.69,724.86,824.31,468.83,-99.45,369.39,30.9
crosswoz_8717_turn2,crosswoz,zh,8717,2,88,long,17.28,1564.77,1028.76,1064.71,536.01,-35.95,500.06,32.0
crosswoz_9394_turn2,crosswoz,zh,9394,2,77,long,17.37,1615.67,786.94,820.48,828.73,-33.54,795.19,49.2
multiwoz_MUL1001_turn2,multiwoz,en,MUL1001,2,245,long,17.38,1255.64,1169.30,1168.84,86.34,0.46,86.80,6.9
multiwoz_MUL1320_turn3,multiwoz,en,MUL1320,3,244,long,17.44,1278.11,694.30,737.24,583.82,-42.94,540.87,42.3
multiwoz_MUL1191_turn2,multiwoz,en,MUL1191,2,248,long,17.54,1244.63,1135.31,1178.53,109.33,-43.23,66.10,5.3
crosswoz_10382_turn2,crosswoz,zh,10382,2,87,long,17.61,1554.15,756.56,792.43,797.59,-35.87,761.72,49.0
crosswoz_7310_turn2,crosswoz,zh,7310,2,89,long,17.80,1598.06,1406.31,1397.21,191.75,9.10,200.85,12.6
crosswoz_10661_turn2,crosswoz,zh,10661,2,92,long,18.02,1661.14,1799.12,1913.25,-137.97,-114.13,-252.11,-15.2
crosswoz_7701_turn2,crosswoz,zh,7701,2,90,long,18.11,1537.19,977.68,1007.48,559.51,-29.79,529.71,34.5
crosswoz_9956_turn3,crosswoz,zh,9956,3,83,long,18.11,1604.46,668.47,651.76,935.98,16.71,952.69,59.4
crosswoz_8424_turn2,crosswoz,zh,8424,2,89,long,18.34,1517.36,983.52,1023.71,533.84,-40.19,493.65,32.5
multiwoz_MUL1459_turn2,multiwoz,en,MUL1459,2,285,long,18.38,1383.21,910.18,922.98,473.03,-12.79,460.23,33.3
multiwoz_PMUL2175_turn2,multiwoz,en,PMUL2175,2,289,long,18.65,1268.38,1059.53,1129.67,208.85,-70.15,138.71,10.9
crosswoz_11406_turn2,crosswoz,zh,11406,2,92,long,18.89,1558.53,744.34,771.97,814.19,-27.63,786.56,50.5
multiwoz_MUL2157_turn2,multiwoz,en,MUL2157,2,269,long,18.92,1412.94,979.37,1008.37,433.57,-29.00,404.57,28.6
multiwoz_MUL1330_turn2,multiwoz,en,MUL1330,2,302,long,18.99,1332.75,1414.37,1548.26,-81.62,-133.89,-215.51,-16.2
crosswoz_497_turn2,crosswoz,zh,497,2,98,long,19.02,1786.20,1530.13,1537.26,256.06,-7.12,248.94,13.9
crosswoz_10197_turn2,crosswoz,zh,10197,2,98,long,19.05,1674.66,1773.18,1794.46,-98.52,-21.28,-119.80,-7.2
crosswoz_962_turn2,crosswoz,zh,962,2,93,long,19.21,1623.53,1107.10,1004.72,516.43,102.38,618.81,38.1
multiwoz_MUL1003_turn3,multiwoz,en,MUL1003,3,297,long,19.24,1405.59,794.23,829.19,611.36,-34.96,576.40,41.0
crosswoz_2228_turn2,crosswoz,zh,2228,2,93,long,19.46,1709.73,922.32,892.88,787.40,29.44,816.85,47.8
crosswoz_10574_turn2,crosswoz,zh,10574,2,93,long,19.47,1557.27,1269.40,1210.41,287.86,59.00,346.86,22.3
crosswoz_422_turn2,crosswoz,zh,422,2,98,long,19.48,1677.37,1187.09,1280.02,490.28,-92.94,397.34,23.7
multiwoz_MUL0789_turn2,multiwoz,en,MUL0789,2,256,long,19.52,1429.25,869.17,858.34,560.08,10.83,570.91,39.9
multiwoz_PMUL0322_turn3,multiwoz,en,PMUL0322,3,283,long,19.80,1508.93,811.00,768.15,697.93,42.85,740.78,49.1
