group,sample_count,avg_duration_s,streaming_ttft_mean_ms,streaming_ttft_std_ms,non_streaming_ttft_mean_ms,non_streaming_ttft_std_ms,improvement_ms,improvement_ratio_%
long,15,17.63,1650.16,199.18,1615.57,134.05,-34.59,-2.1
very_long,15,32.48,2514.33,1442.93,2839.92,208.29,325.59,11.5
