sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,streaming,0.0303,0.0606,590.21,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,non-streaming,0.0000,0.0000,809.24,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,streaming,0.0625,0.0938,658.61,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,non-streaming,0.0000,0.0000,711.82,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,streaming,0.1667,0.0577,462.75,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,non-streaming,0.0000,0.0000,779.20,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,streaming,0.0000,0.0000,890.42,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,non-streaming,0.0000,0.0000,829.24,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,streaming,0.0000,0.0000,932.01,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,non-streaming,0.0000,0.0000,719.52,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,streaming,0.0000,0.0000,627.85,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,non-streaming,0.0000,0.0000,722.86,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,streaming,0.0000,0.0000,596.77,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,non-streaming,0.0000,0.0000,828.78,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,streaming,0.0000,0.0000,941.83,
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,non-streaming,0.0000,0.0000,784.48,
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,streaming,0.0286,0.0571,616.11,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,non-streaming,0.0000,0.0000,733.00,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,streaming,0.0000,0.0000,817.86,
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,non-streaming,0.0000,0.0000,831.38,
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,streaming,0.0000,0.0000,978.51,
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,non-streaming,0.0000,0.0000,848.20,
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,streaming,0.0000,0.0250,461.81,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,non-streaming,0.0000,0.0000,764.24,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,streaming,0.0000,0.0000,845.00,
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,non-streaming,0.0000,0.0000,846.74,
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,streaming,0.0541,0.0811,521.49,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,non-streaming,0.0000,0.0000,831.77,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,streaming,0.0000,0.0000,853.81,
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,non-streaming,0.0000,0.0000,886.01,
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,streaming,0.0750,0.1000,643.27,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,non-streaming,0.0000,0.0000,823.14,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,streaming,0.0000,0.0270,600.12,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,non-streaming,0.0000,0.0000,904.51,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,streaming,0.0227,0.0455,633.01,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,non-streaming,0.0000,0.0000,752.08,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,streaming,0.0000,0.0000,761.91,
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,non-streaming,0.0000,0.0000,891.07,
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,streaming,0.0233,0.0465,632.34,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,non-streaming,0.0000,0.0000,896.17,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,streaming,0.0000,0.0256,512.07,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,non-streaming,0.0000,0.0000,788.94,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,streaming,0.0000,0.0000,583.00,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,non-streaming,0.0000,0.0000,832.52,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,streaming,0.0000,0.0278,608.82,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,non-streaming,0.0000,0.0000,925.63,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,streaming,0.0000,0.0270,734.97,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,non-streaming,0.0000,0.0000,1046.69,
multiwoz_MUL1152_turn2,multiwoz,en,MUL1152,2,185,15.05,long,streaming,0.3030,0.0978,471.71,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,non-streaming,0.0000,0.0000,1014.67,
multiwoz_PMUL2936_turn2,multiwoz,en,PMUL2936,2,208,15.34,long,streaming,0.0250,0.0050,484.60,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,non-streaming,0.0000,0.0000,1354.96,
crosswoz_11613_turn2,crosswoz,zh,11613,2,70,15.39,long,streaming,0.0333,0.0833,534.86,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,non-streaming,0.0000,0.0000,1119.98,
multiwoz_MUL0084_turn2,multiwoz,en,MUL0084,2,199,15.44,long,streaming,0.1136,0.0284,602.47,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,non-streaming,0.0000,0.0000,1103.79,
multiwoz_PMUL2130_turn2,multiwoz,en,PMUL2130,2,207,15.46,long,streaming,0.0256,0.0050,467.04,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,non-streaming,0.0000,0.0000,969.82,
multiwoz_MUL2174_turn2,multiwoz,en,MUL2174,2,207,15.53,long,streaming,0.0811,0.0443,473.17,
