sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
crosswoz_7701_turn4,50.77,very_long,non-streaming,5160.80,5091.38,69.42,
crosswoz_9394_turn4,52.05,very_long,streaming,933.06,-1446.76,2379.82,
crosswoz_9394_turn4,52.05,very_long,non-streaming,4560.47,4491.11,69.36,
multiwoz_MUL1215_turn5,52.69,very_long,streaming,1231.21,-333.33,1564.54,
multiwoz_MUL1215_turn5,52.69,very_long,non-streaming,3744.62,3666.38,78.24,
crosswoz_8202_turn4,53.14,very_long,streaming,900.55,-976.32,1876.87,
crosswoz_8202_turn4,53.14,very_long,non-streaming,5431.32,5353.48,77.84,
multiwoz_MUL2018_turn5,53.27,very_long,streaming,1030.51,-779.88,1810.39,
multiwoz_MUL2018_turn5,53.27,very_long,non-streaming,3785.18,3705.86,79.32,
crosswoz_7652_turn3,53.35,very_long,streaming,971.55,-543.24,1514.79,
crosswoz_7652_turn3,53.35,very_long,non-streaming,4552.97,4474.90,78.07,
crosswoz_9577_turn4,53.42,very_long,streaming,1050.02,-738.17,1788.19,
crosswoz_9577_turn4,53.42,very_long,non-streaming,5857.66,5788.03,69.63,
multiwoz_MUL1459_turn5,53.58,very_long,streaming,1035.66,-1358.14,2393.80,
multiwoz_MUL1459_turn5,53.58,very_long,non-streaming,3844.71,3765.42,79.29,
crosswoz_12011_turn4,53.96,very_long,streaming,1008.51,-916.07,1924.58,
crosswoz_12011_turn4,53.96,very_long,non-streaming,4789.63,4710.27,79.35,
multiwoz_PMUL0085_turn5,55.18,very_long,streaming,1132.76,-697.08,1829.83,
multiwoz_PMUL0085_turn5,55.18,very_long,non-streaming,4104.43,4024.69,79.73,
multiwoz_PMUL3103_turn6,55.24,very_long,streaming,984.31,-358.32,1342.63,
multiwoz_PMUL3103_turn6,55.24,very_long,non-streaming,3619.16,3541.10,78.07,
crosswoz_10040_turn4,56.44,very_long,streaming,1454.68,-73.81,1528.49,
crosswoz_10040_turn4,56.44,very_long,non-streaming,5793.47,5715.34,78.13,
crosswoz_98_turn3,57.17,very_long,streaming,1103.04,-687.18,1790.22,
crosswoz_98_turn3,57.17,very_long,non-streaming,5547.69,5478.23,69.46,
crosswoz_12299_turn4,57.30,very_long,streaming,1045.99,-660.53,1706.52,
crosswoz_12299_turn4,57.30,very_long,non-streaming,5560.69,5480.38,80.31,
multiwoz_PMUL1745_turn6,57.34,very_long,streaming,1072.70,-575.54,1648.24,
multiwoz_PMUL1745_turn6,57.34,very_long,non-streaming,4695.19,4608.58,86.61,
multiwoz_MUL0183_turn5,57.67,very_long,streaming,1062.95,-659.80,1722.75,
multiwoz_MUL0183_turn5,57.67,very_long,non-streaming,4503.52,4424.73,78.79,
crosswoz_11406_turn5,57.73,very_long,streaming,1039.95,-691.28,1731.23,
crosswoz_11406_turn5,57.73,very_long,non-streaming,5610.25,5531.41,78.84,
crosswoz_10331_turn4,59.61,very_long,streaming,1138.32,-1087.80,2226.12,
crosswoz_10331_turn4,59.61,very_long,non-streaming,5526.03,5445.81,80.21,
multiwoz_PMUL4031_turn5,59.73,very_long,streaming,973.24,-958.63,1931.87,
multiwoz_PMUL4031_turn5,59.73,very_long,non-streaming,4453.80,4375.37,78.43,
