comparison,scope,family,role,left_system,right_system,direction,n_samples,n_dialogues,mean_left_ms,mean_right_ms,diff_mean_ms,diff_ci95_lo_ms,diff_ci95_hi_ms,improvement_pct,improvement_ci95_lo_pct,improvement_ci95_hi_pct,wilcoxon_stat_dialogue,p_raw_dialogue,p_holm_dialogue,rank_biserial_dialogue,cohens_dz_dialogue,bootstrap_seed,note
ablation_asr_contrast,filtered_three_arm,ablation_contrasts,Holm family,baseline arm,streaming-ASR-only arm,left-right; positive means right is faster,498,99,4503.138226,1171.011527,3332.126699,3064.375213,3572.608976,73.995657,72.319251,75.373600,0.0,5.697221e-18,1.139444e-17,1.000000,2.091747,2792604057,non-causal arm contrast; fixed execution order
ablation_kv_contrast,filtered_three_arm,ablation_contrasts,Holm family,streaming-ASR-only arm,full-streaming arm,left-right; positive means right is faster,498,99,1171.011527,1155.508301,15.503226,10.953898,19.663234,1.323917,0.941655,1.670346,1315.0,5.149496e-05,5.149496e-05,0.468687,0.430241,3933808121,non-causal arm contrast; fixed execution order
