comparison,scope,family,role,left_system,right_system,direction,n_samples,n_dialogues,mean_left_ms,mean_right_ms,diff_mean_ms,diff_ci95_lo_ms,diff_ci95_hi_ms,improvement_pct,improvement_ci95_lo_pct,improvement_ci95_hi_pct,wilcoxon_stat_dialogue,p_raw_dialogue,p_holm_dialogue,rank_biserial_dialogue,cohens_dz_dialogue,bootstrap_seed,note
second_platform_ab,second_platform,second_platform_comparisons,Holm family,System A non-streaming,System B streaming,left-right; positive means right is faster,498,99,5310.761997,1573.929531,3736.832466,3438.686504,4000.962686,70.363395,68.499578,71.901168,0.0,5.697221e-18,1.139444e-17,1.000000,2.118640,1048507187,same-platform validation
configured_la_vs_b,second_platform,second_platform_comparisons,Holm family,configured LA-2-style,System B streaming,left-right; positive means right is faster,498,99,2115.040937,1573.929531,541.111406,485.656347,599.140187,25.583968,23.469353,27.733163,3.0,6.243608e-18,1.139444e-17,0.998788,1.768387,3304998643,configured operating point; trigger policy not matched
