sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
crosswoz_9394_turn4,52.05,very_long,streaming,1183.09,1089.23,93.86,
crosswoz_9394_turn4,52.05,very_long,non-streaming,4571.40,4501.96,69.44,
multiwoz_MUL1215_turn5,52.69,very_long,streaming,1554.44,1460.39,94.05,
multiwoz_MUL1215_turn5,52.69,very_long,non-streaming,3842.98,3763.44,79.54,
crosswoz_8202_turn4,53.14,very_long,streaming,1135.94,1050.14,85.80,
crosswoz_8202_turn4,53.14,very_long,non-streaming,4659.91,4590.55,69.36,
multiwoz_MUL2018_turn5,53.27,very_long,streaming,1213.22,1127.90,85.32,
multiwoz_MUL2018_turn5,53.27,very_long,non-streaming,4939.41,4860.95,78.46,
crosswoz_7652_turn3,53.35,very_long,streaming,1498.93,1407.54,91.39,
crosswoz_7652_turn3,53.35,very_long,non-streaming,4660.22,4582.47,77.74,
crosswoz_9577_turn4,53.42,very_long,streaming,1373.35,1289.69,83.66,
crosswoz_9577_turn4,53.42,very_long,non-streaming,6183.21,6113.84,69.37,
multiwoz_MUL1459_turn5,53.58,very_long,streaming,1264.57,1174.79,89.78,
multiwoz_MUL1459_turn5,53.58,very_long,non-streaming,3818.56,3739.07,79.49,
crosswoz_12011_turn4,53.96,very_long,streaming,1226.67,1135.55,91.12,
crosswoz_12011_turn4,53.96,very_long,non-streaming,4931.47,4852.84,78.63,
multiwoz_PMUL0085_turn5,55.18,very_long,streaming,1270.37,1160.15,110.22,
multiwoz_PMUL0085_turn5,55.18,very_long,non-streaming,4695.06,4615.88,79.19,
multiwoz_PMUL3103_turn6,55.24,very_long,streaming,1918.37,1762.81,155.56,
multiwoz_PMUL3103_turn6,55.24,very_long,non-streaming,3927.80,3848.74,79.06,
crosswoz_10040_turn4,56.44,very_long,streaming,2305.18,2211.89,93.29,
crosswoz_10040_turn4,56.44,very_long,non-streaming,6190.05,6108.05,82.00,
crosswoz_98_turn3,57.17,very_long,streaming,1513.73,1412.10,101.63,
crosswoz_98_turn3,57.17,very_long,non-streaming,5295.67,5216.73,78.94,
crosswoz_12299_turn4,57.30,very_long,streaming,1494.01,1358.22,135.79,
crosswoz_12299_turn4,57.30,very_long,non-streaming,5127.11,5048.65,78.46,
multiwoz_PMUL1745_turn6,57.34,very_long,streaming,1403.74,1313.79,89.95,
multiwoz_PMUL1745_turn6,57.34,very_long,non-streaming,4715.60,4628.21,87.39,
multiwoz_MUL0183_turn5,57.67,very_long,streaming,1296.87,1204.64,92.24,
multiwoz_MUL0183_turn5,57.67,very_long,non-streaming,4639.36,4559.28,80.08,
crosswoz_11406_turn5,57.73,very_long,streaming,1329.70,1206.93,122.76,
crosswoz_11406_turn5,57.73,very_long,non-streaming,6713.00,6633.95,79.05,
crosswoz_10331_turn4,59.61,very_long,streaming,1594.79,1479.16,115.64,
crosswoz_10331_turn4,59.61,very_long,non-streaming,6586.17,6499.46,86.71,
multiwoz_PMUL4031_turn5,59.73,very_long,streaming,1310.99,1208.09,102.90,
multiwoz_PMUL4031_turn5,59.73,very_long,non-streaming,5122.77,5043.28,79.49,
