sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,non-streaming,0.0000,0.0000,515.86,
multiwoz_MUL1353_turn1,multiwoz,en,MUL1353,1,71,5.08,medium,streaming,0.0000,0.0000,643.44,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,non-streaming,0.0000,0.0000,547.68,
multiwoz_MUL0789_turn1,multiwoz,en,MUL0789,1,80,5.19,medium,streaming,0.0000,0.0000,634.49,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,non-streaming,0.0000,0.0000,694.50,
crosswoz_11334_turn1,crosswoz,zh,11334,1,26,5.22,medium,streaming,0.0000,0.0000,749.67,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,non-streaming,0.0000,0.0000,583.69,
multiwoz_PMUL2034_turn1,multiwoz,en,PMUL2034,1,93,5.22,medium,streaming,0.0000,0.0000,618.19,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,non-streaming,0.0000,0.0000,520.75,
multiwoz_MUL2016_turn1,multiwoz,en,MUL2016,1,75,5.24,medium,streaming,0.0000,0.0000,590.67,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,non-streaming,0.0000,0.0000,697.86,
crosswoz_9394_turn1,crosswoz,zh,9394,1,26,5.34,medium,streaming,0.0000,0.0000,720.17,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,non-streaming,0.0000,0.0000,632.07,
crosswoz_11735_turn1,crosswoz,zh,11735,1,27,5.43,medium,streaming,0.0000,0.0000,670.51,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,non-streaming,0.0000,0.0000,588.92,
multiwoz_PMUL0085_turn1,multiwoz,en,PMUL0085,1,88,5.78,medium,streaming,0.1053,0.0110,647.63,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,non-streaming,0.0000,0.0000,568.49,
multiwoz_MUL2157_turn1,multiwoz,en,MUL2157,1,99,5.86,medium,streaming,0.1053,0.0105,654.07,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,non-streaming,0.0000,0.0000,690.04,
crosswoz_2228_turn1,crosswoz,zh,2228,1,30,5.89,medium,streaming,0.0000,0.0000,781.81,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,non-streaming,0.0000,0.0000,572.18,
multiwoz_MUL0176_turn1,multiwoz,en,MUL0176,1,94,5.99,medium,streaming,0.0000,0.0000,621.56,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,non-streaming,0.0000,0.0000,691.12,
crosswoz_10661_turn1,crosswoz,zh,10661,1,32,6.06,medium,streaming,0.0000,0.0000,885.74,
multiwoz_PMUL0271_turn1,multiwoz,en,PMUL0271,1,100,6.12,medium,non-streaming,0.0000,0.0000,577.96,
multiwoz_PMUL0271_turn1,multiwoz,en,PMUL0271,1,100,6.12,medium,streaming,0.0000,0.0000,803.66,
crosswoz_12315_turn1,crosswoz,zh,12315,1,30,6.13,medium,non-streaming,0.0000,0.0000,652.71,
crosswoz_12315_turn1,crosswoz,zh,12315,1,30,6.13,medium,streaming,0.0000,0.0000,720.29,
multiwoz_PMUL2130_turn1,multiwoz,en,PMUL2130,1,102,6.21,medium,non-streaming,0.0000,0.0000,590.78,
multiwoz_PMUL2130_turn1,multiwoz,en,PMUL2130,1,102,6.21,medium,streaming,0.1053,0.0101,633.59,
crosswoz_10197_turn1,crosswoz,zh,10197,1,33,6.27,medium,non-streaming,0.0000,0.0000,687.96,
crosswoz_10197_turn1,crosswoz,zh,10197,1,33,6.27,medium,streaming,0.0000,0.0000,753.88,
crosswoz_8796_turn1,crosswoz,zh,8796,1,31,6.29,medium,non-streaming,0.0000,0.0000,680.31,
crosswoz_8796_turn1,crosswoz,zh,8796,1,31,6.29,medium,streaming,0.0000,0.0000,737.51,
crosswoz_9956_turn1,crosswoz,zh,9956,1,31,6.29,medium,non-streaming,0.0000,0.0000,699.32,
crosswoz_9956_turn1,crosswoz,zh,9956,1,31,6.29,medium,streaming,0.0000,0.0000,769.57,
multiwoz_MUL1001_turn1,multiwoz,en,MUL1001,1,98,6.41,medium,non-streaming,0.0000,0.0000,599.03,
multiwoz_MUL1001_turn1,multiwoz,en,MUL1001,1,98,6.41,medium,streaming,0.1176,0.0104,768.14,
crosswoz_8707_turn1,crosswoz,zh,8707,1,34,6.44,medium,non-streaming,0.0000,0.0000,745.54,
crosswoz_8707_turn1,crosswoz,zh,8707,1,34,6.44,medium,streaming,0.0000,0.0000,811.75,
multiwoz_MUL0711_turn1,multiwoz,en,MUL0711,1,90,6.48,medium,non-streaming,0.0000,0.0000,581.54,
multiwoz_MUL0711_turn1,multiwoz,en,MUL0711,1,90,6.48,medium,streaming,0.0000,0.0000,630.72,
crosswoz_8436_turn1,crosswoz,zh,8436,1,35,6.51,medium,non-streaming,0.0000,0.0000,700.08,
crosswoz_8436_turn1,crosswoz,zh,8436,1,35,6.51,medium,streaming,0.0000,0.0000,763.54,
crosswoz_7196_turn1,crosswoz,zh,7196,1,35,6.64,medium,non-streaming,0.0000,0.0000,695.58,
crosswoz_7196_turn1,crosswoz,zh,7196,1,35,6.64,medium,streaming,0.0000,0.0000,747.77,
crosswoz_497_turn1,crosswoz,zh,497,1,36,6.85,medium,non-streaming,0.0000,0.0000,719.59,
crosswoz_497_turn1,crosswoz,zh,497,1,36,6.85,medium,streaming,0.0000,0.0000,838.61,
multiwoz_MUL1003_turn1,multiwoz,en,MUL1003,1,102,7.20,medium,non-streaming,0.0000,0.0000,622.51,
multiwoz_MUL1003_turn1,multiwoz,en,MUL1003,1,102,7.20,medium,streaming,0.1053,0.0102,701.05,
crosswoz_11613_turn1,crosswoz,zh,11613,1,36,7.38,medium,non-streaming,0.0000,0.0000,785.01,
crosswoz_11613_turn1,crosswoz,zh,11613,1,36,7.38,medium,streaming,0.0000,0.0000,860.48,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,non-streaming,0.0000,0.0000,815.18,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,streaming,0.0000,0.0000,880.78,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,non-streaming,0.0000,0.0000,786.92,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,streaming,0.0000,0.0000,879.00,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,non-streaming,0.0000,0.0000,693.59,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,streaming,0.1667,0.0577,659.32,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,non-streaming,0.0000,0.0000,790.54,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,streaming,0.0000,0.0000,876.98,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,non-streaming,0.0000,0.0000,833.68,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,streaming,0.0000,0.0000,909.04,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,non-streaming,0.0000,0.0000,699.90,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,streaming,0.0833,0.0086,842.39,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,non-streaming,0.0000,0.0000,703.04,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,streaming,0.0870,0.0092,820.29,
