scope,sample_count,avg_duration_s,wer_mean,wer_std,cer_mean,cer_std
non-streaming,150,19.58,0.0000,0.0000,0.0000,0.0000
streaming,150,19.58,0.0461,0.0566,0.0257,0.0286
multiwoz,74,20.71,0.0813,0.0606,0.0221,0.0217
crosswoz,76,18.49,0.0118,0.0187,0.0292,0.0337
en,74,20.71,0.0813,0.0606,0.0221,0.0217
zh,76,18.49,0.0118,0.0187,0.0292,0.0337
overall,150,19.58,0.0461,0.0566,0.0257,0.0286
