sample_id,dataset,language,dialog_id,turn_index,text_length,audio_duration,duration_group,mode,wer,cer,asr_time_ms,error
crosswoz_11613_turn1,crosswoz,zh,11613,1,36,7.38,medium,streaming,0.6774,0.6774,846.82,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,non-streaming,0.0303,0.0303,777.42,
crosswoz_11361_turn1,crosswoz,zh,11361,1,36,7.51,medium,streaming,0.6364,0.6364,866.40,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,non-streaming,0.1613,0.1562,770.08,
crosswoz_9200_turn1,crosswoz,zh,9200,1,38,7.62,medium,streaming,0.6774,0.6562,888.72,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,non-streaming,0.1600,0.1101,703.22,
multiwoz_PMUL4885_turn2,multiwoz,en,PMUL4885,2,113,7.64,medium,streaming,0.2000,0.1009,649.33,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,non-streaming,0.1212,0.1176,769.12,
crosswoz_8907_turn1,crosswoz,zh,8907,1,39,7.69,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,non-streaming,0.0882,0.0882,813.07,
crosswoz_9365_turn1,crosswoz,zh,9365,1,39,7.72,medium,streaming,1.0000,1.0000,0.00,asr_no_text
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,non-streaming,0.0833,0.0614,704.03,
multiwoz_MUL0641_turn1,multiwoz,en,MUL0641,1,117,7.72,medium,streaming,0.5000,0.5702,804.92,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,non-streaming,0.0909,0.0093,702.01,
multiwoz_MUL0076_turn1,multiwoz,en,MUL0076,1,116,7.81,medium,streaming,0.5455,0.5185,807.48,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,non-streaming,0.0000,0.0000,798.05,
crosswoz_9033_turn1,crosswoz,zh,9033,1,39,7.89,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,non-streaming,0.0000,0.0000,740.25,
crosswoz_8424_turn1,crosswoz,zh,8424,1,39,7.92,medium,streaming,0.5143,0.5143,879.11,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,non-streaming,0.0000,0.0000,710.80,
multiwoz_PMUL2296_turn1,multiwoz,en,PMUL2296,1,137,7.99,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,non-streaming,0.0256,0.0256,800.89,
crosswoz_10296_turn1,crosswoz,zh,10296,1,44,8.28,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,non-streaming,0.0250,0.0250,836.71,
crosswoz_10331_turn1,crosswoz,zh,10331,1,44,8.28,medium,streaming,0.7500,0.7500,910.28,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,non-streaming,0.0357,0.0143,736.22,
multiwoz_MUL1330_turn1,multiwoz,en,MUL1330,1,147,8.56,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,non-streaming,0.0833,0.0833,848.70,
crosswoz_8717_turn1,crosswoz,zh,8717,1,42,8.66,medium,streaming,0.6667,0.6667,902.09,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,non-streaming,0.1053,0.1053,807.13,
crosswoz_3145_turn1,crosswoz,zh,3145,1,43,8.72,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,non-streaming,0.1053,0.1053,832.40,
crosswoz_9138_turn1,crosswoz,zh,9138,1,43,8.73,medium,streaming,0.5263,0.5263,952.07,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,non-streaming,0.0270,0.0270,800.61,
crosswoz_11592_turn1,crosswoz,zh,11592,1,42,8.89,medium,streaming,0.5676,0.5676,895.31,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,non-streaming,0.0698,0.0698,855.01,
crosswoz_7652_turn1,crosswoz,zh,7652,1,47,9.01,medium,streaming,0.5581,0.5581,950.34,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,non-streaming,0.7761,0.6868,705.69,
multiwoz_PMUL3103_turn3,multiwoz,en,PMUL3103,3,357,9.11,medium,streaming,1.0000,1.0000,0.00,asr_no_text
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,non-streaming,0.0952,0.0952,873.51,
crosswoz_12011_turn1,crosswoz,zh,12011,1,46,9.14,medium,streaming,0.6190,0.6190,964.56,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,non-streaming,0.0263,0.0263,870.46,
crosswoz_1101_turn1,crosswoz,zh,1101,1,44,9.27,medium,streaming,0.7368,0.7368,936.66,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,non-streaming,0.0667,0.0143,761.73,
multiwoz_PMUL2319_turn1,multiwoz,en,PMUL2319,1,144,9.27,medium,streaming,0.1000,0.0214,700.91,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,non-streaming,0.0286,0.0541,808.97,
crosswoz_9173_turn1,crosswoz,zh,9173,1,45,9.29,medium,streaming,0.6000,0.6216,907.22,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,non-streaming,0.0541,0.0789,914.40,
crosswoz_12298_turn1,crosswoz,zh,12298,1,45,9.36,medium,streaming,0.4865,0.5000,952.91,
multiwoz_MUL0183_turn1,multiwoz,en,MUL0183,1,123,9.36,medium,non-streaming,0.0000,0.0000,705.52,
multiwoz_MUL0183_turn1,multiwoz,en,MUL0183,1,123,9.36,medium,streaming,0.0714,0.0083,598.74,
