scope,sample_count,avg_duration_s,wer_mean,wer_std,cer_mean,cer_std
non-streaming,418,30.88,0.1290,0.1002,0.0883,0.0575
streaming,389,32.66,0.2099,0.1849,0.1625,0.1786
multiwoz,424,32.14,0.2235,0.1327,0.1163,0.1273
crosswoz,383,31.29,0.1065,0.1497,0.1327,0.1443
en,424,32.14,0.2235,0.1327,0.1163,0.1273
zh,383,31.29,0.1065,0.1497,0.1327,0.1443
overall,807,31.74,0.1680,0.1527,0.1241,0.1359
