group,sample_count,avg_duration_s,streaming_ttft_mean_ms,streaming_ttft_std_ms,non_streaming_ttft_mean_ms,non_streaming_ttft_std_ms,improvement_ms,improvement_ratio_%
extra_long,15,62.71,1762.89,275.41,5139.87,381.66,3376.98,65.7
long,30,17.68,1658.67,328.16,1627.40,148.88,-31.27,-1.9
very_long,30,32.48,1706.84,394.80,2981.82,241.84,1274.98,42.8
