sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
multiwoz_PMUL0271_turn3,30.09,very_long,streaming,1367.98,1282.62,85.36,
multiwoz_PMUL0271_turn3,30.09,very_long,non-streaming,2624.66,2540.09,84.57,
multiwoz_PMUL2590_turn4,30.28,very_long,streaming,2207.67,2059.90,147.77,
multiwoz_PMUL2590_turn4,30.28,very_long,non-streaming,2726.74,2681.91,44.83,
crosswoz_7701_turn3,30.56,very_long,streaming,1299.18,1211.75,87.43,
crosswoz_7701_turn3,30.56,very_long,non-streaming,3136.52,3091.34,45.18,
multiwoz_MUL2016_turn3,31.00,very_long,streaming,1675.06,1587.92,87.13,
multiwoz_MUL2016_turn3,31.00,very_long,non-streaming,3002.48,2954.95,47.53,
crosswoz_8672_turn3,31.66,very_long,streaming,1348.83,1256.55,92.28,
crosswoz_8672_turn3,31.66,very_long,non-streaming,3450.89,3403.75,47.14,
multiwoz_MUL1031_turn3,32.00,very_long,streaming,1663.31,1558.13,105.18,
multiwoz_MUL1031_turn3,32.00,very_long,non-streaming,2871.28,2824.06,47.22,
crosswoz_12315_turn3,32.11,very_long,streaming,1757.37,1669.67,87.70,
crosswoz_12315_turn3,32.11,very_long,non-streaming,3354.44,3288.64,65.80,
multiwoz_PMUL2936_turn4,33.53,very_long,streaming,1699.36,1570.35,129.01,
multiwoz_PMUL2936_turn4,33.53,very_long,non-streaming,2613.23,2567.33,45.90,
crosswoz_8907_turn3,35.33,very_long,streaming,1499.54,1402.31,97.23,
crosswoz_8907_turn3,35.33,very_long,non-streaming,3716.38,3651.47,64.91,
crosswoz_11592_turn2,35.79,very_long,streaming,1379.04,1294.21,84.84,
crosswoz_11592_turn2,35.79,very_long,non-streaming,3382.48,3336.56,45.92,
crosswoz_9577_turn3,36.69,very_long,streaming,1481.78,1397.78,84.00,
crosswoz_9577_turn3,36.69,very_long,non-streaming,4633.40,4584.38,49.03,
crosswoz_10574_turn4,37.76,very_long,streaming,1712.64,1610.30,102.35,
