sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
aishell1_S0004_01,15.20,long,streaming,1352.11,1243.92,108.19,
aishell1_S0004_01,15.20,long,non-streaming,1604.32,1559.84,44.48,
aishell1_S0023_01,15.40,long,streaming,2265.16,1144.10,1121.06,
aishell1_S0023_01,15.40,long,non-streaming,1445.79,1402.40,43.39,
aishell1_S0025_01,15.89,long,streaming,1538.24,600.54,937.70,
aishell1_S0025_01,15.89,long,non-streaming,1593.27,1485.02,108.25,
aishell1_S0028_01,16.47,long,streaming,1512.21,640.31,871.90,
aishell1_S0028_01,16.47,long,non-streaming,1549.45,1484.16,65.28,
aishell1_S0027_01,16.59,long,streaming,1269.18,424.89,844.29,
aishell1_S0027_01,16.59,long,non-streaming,1528.69,1470.12,58.57,
aishell1_S0018_01,17.33,long,streaming,1326.07,1236.15,89.91,
aishell1_S0018_01,17.33,long,non-streaming,1766.39,1707.86,58.53,
aishell1_S0026_01,17.47,long,streaming,1699.87,742.31,957.56,
aishell1_S0026_01,17.47,long,non-streaming,1637.92,1591.31,46.61,
aishell1_S0006_01,17.74,long,streaming,1560.08,672.87,887.21,
aishell1_S0006_01,17.74,long,non-streaming,1587.66,1531.30,56.35,
aishell1_S0019_01,18.16,long,streaming,2295.53,1134.75,1160.77,
aishell1_S0019_01,18.16,long,non-streaming,1797.35,1738.36,58.99,
aishell1_S0030_01,18.33,long,streaming,1260.60,1163.35,97.25,
aishell1_S0030_01,18.33,long,non-streaming,1769.65,1725.14,44.52,
aishell1_S0024_01,18.82,long,streaming,1995.41,969.85,1025.56,
aishell1_S0024_01,18.82,long,non-streaming,1745.62,1701.17,44.45,
aishell1_S0015_01,19.13,long,streaming,2121.84,1038.65,1083.20,
aishell1_S0015_01,19.13,long,non-streaming,1602.87,1561.70,41.17,
aishell1_S0022_01,19.51,long,streaming,1382.55,358.26,1024.29,
aishell1_S0022_01,19.51,long,non-streaming,1667.22,1624.55,42.66,
aishell1_S0031_01,20.39,long,streaming,2054.76,1021.54,1033.22,
aishell1_S0031_01,20.39,long,non-streaming,1740.35,1694.68,45.67,
aishell1_S0007_01,20.71,long,streaming,2321.28,1244.61,1076.67,
aishell1_S0007_01,20.71,long,non-streaming,1697.13,1639.53,57.60,
aishell1_S0041_01,30.18,very_long,streaming,1672.56,730.61,941.96,
aishell1_S0041_01,30.18,very_long,non-streaming,2911.94,2859.09,52.86,
aishell1_S0036_01,30.38,very_long,streaming,1996.94,943.08,1053.86,
aishell1_S0036_01,30.38,very_long,non-streaming,2733.81,2686.65,47.16,
aishell1_S0059_01,30.62,very_long,streaming,1475.01,411.30,1063.71,
aishell1_S0059_01,30.62,very_long,non-streaming,2840.36,2796.13,44.23,
aishell1_S0060_01,30.83,very_long,streaming,1919.58,850.82,1068.76,
aishell1_S0060_01,30.83,very_long,non-streaming,2687.02,2634.16,52.86,
aishell1_S0035_01,31.00,very_long,streaming,1924.82,896.78,1028.04,
aishell1_S0035_01,31.00,very_long,non-streaming,2938.86,2890.61,48.25,
aishell1_S0051_01,31.04,very_long,streaming,1279.04,329.07,949.97,
aishell1_S0051_01,31.04,very_long,non-streaming,2510.86,2463.22,47.64,
aishell1_S0052_01,31.90,very_long,streaming,2333.29,1209.89,1123.39,
aishell1_S0052_01,31.90,very_long,non-streaming,2789.18,2731.53,57.65,
aishell1_S0037_01,32.09,very_long,streaming,1392.07,533.81,858.26,
aishell1_S0037_01,32.09,very_long,non-streaming,2986.01,2940.80,45.21,
aishell1_S0061_01,32.41,very_long,streaming,1515.67,646.51,869.17,
aishell1_S0061_01,32.41,very_long,non-streaming,2859.91,2802.91,57.00,
aishell1_S0058_01,32.87,very_long,streaming,1269.74,1185.67,84.07,
aishell1_S0058_01,32.87,very_long,non-streaming,2893.09,2845.08,48.01,
aishell1_S0057_01,33.53,very_long,streaming,1426.16,260.22,1165.94,
aishell1_S0057_01,33.53,very_long,non-streaming,3310.55,3259.14,51.41,
aishell1_S0056_01,34.04,very_long,streaming,1575.72,526.29,1049.43,
aishell1_S0056_01,34.04,very_long,non-streaming,3047.93,2990.02,57.91,
aishell1_S0032_01,34.15,very_long,streaming,1473.22,511.87,961.34,
aishell1_S0032_01,34.15,very_long,non-streaming,3127.82,3083.22,44.60,
aishell1_S0053_01,34.94,very_long,streaming,2021.15,1039.45,981.70,
aishell1_S0053_01,34.94,very_long,non-streaming,2866.60,2819.54,47.06,
aishell1_S0050_01,36.13,very_long,streaming,1652.01,516.41,1135.60,
aishell1_S0050_01,36.13,very_long,non-streaming,3601.75,3545.31,56.44,
