group,sample_count,avg_duration_s,streaming_ttft_mean_ms,streaming_ttft_std_ms,non_streaming_ttft_mean_ms,non_streaming_ttft_std_ms,improvement_ms,improvement_ratio_%
long,15,17.81,1730.32,388.04,1648.91,99.15,-81.41,-4.9
very_long,15,32.41,1661.80,300.66,2940.38,253.30,1278.58,43.5
