group,sample_count,avg_duration_s,streaming_ttft_mean_ms,streaming_ttft_std_ms,non_streaming_ttft_mean_ms,non_streaming_ttft_std_ms,improvement_ms,improvement_ratio_%
long,15,16.90,1611.15,349.90,1604.60,155.34,-6.55,-0.4
very_long,15,32.33,1698.29,243.13,3018.93,160.02,1320.64,43.7
