sample_id,audio_duration,duration_group,mode,ttft_ms,asr_time_ms,llm_prefill_time_ms,error
aishell1_S0005_01,15.00,long,streaming,1886.29,837.77,1048.53,
aishell1_S0005_01,15.00,long,non-streaming,1514.79,1457.25,57.54,
aishell1_S0004_01,15.20,long,streaming,1348.35,1230.68,117.66,
aishell1_S0004_01,15.20,long,non-streaming,1636.98,1594.62,42.36,
aishell1_S0023_01,15.40,long,streaming,1613.05,1497.30,115.75,
aishell1_S0023_01,15.40,long,non-streaming,1521.61,1475.58,46.03,
aishell1_S0013_01,15.70,long,streaming,1124.54,132.71,991.83,
aishell1_S0013_01,15.70,long,non-streaming,1571.26,1516.61,54.65,
aishell1_S0025_01,15.89,long,streaming,1691.58,733.21,958.37,
aishell1_S0025_01,15.89,long,non-streaming,1471.24,1411.94,59.29,
aishell1_S0002_01,16.20,long,streaming,1453.07,1320.30,132.77,
aishell1_S0002_01,16.20,long,non-streaming,1342.06,1298.48,43.58,
aishell1_S0020_01,16.23,long,streaming,1321.49,1236.47,85.02,
aishell1_S0020_01,16.23,long,non-streaming,1569.79,1527.14,42.65,
aishell1_S0028_01,16.47,long,streaming,1578.50,670.37,908.13,
aishell1_S0028_01,16.47,long,non-streaming,1505.20,1451.49,53.71,
aishell1_S0014_01,17.05,long,streaming,1256.45,1154.18,102.27,
aishell1_S0014_01,17.05,long,non-streaming,1378.84,1329.05,49.78,
aishell1_S0011_01,17.20,long,streaming,1853.71,821.62,1032.09,
aishell1_S0011_01,17.20,long,non-streaming,1755.61,1714.99,40.62,
aishell1_S0018_01,17.33,long,streaming,1293.54,1203.45,90.09,
aishell1_S0018_01,17.33,long,non-streaming,1728.89,1673.72,55.17,
aishell1_S0006_01,17.74,long,streaming,1703.21,787.60,915.60,
aishell1_S0006_01,17.74,long,non-streaming,1573.27,1510.67,62.60,
aishell1_S0019_01,18.16,long,streaming,2363.85,1189.26,1174.59,
aishell1_S0019_01,18.16,long,non-streaming,1825.59,1766.77,58.82,
aishell1_S0012_01,19.60,long,streaming,1407.75,1315.21,92.55,
aishell1_S0012_01,19.60,long,non-streaming,1838.54,1788.14,50.40,
aishell1_S0031_01,20.39,long,streaming,2271.84,1171.32,1100.51,
aishell1_S0031_01,20.39,long,non-streaming,1835.35,1762.51,72.84,
aishell1_S0041_01,30.18,very_long,streaming,1859.99,859.87,1000.12,
aishell1_S0041_01,30.18,very_long,non-streaming,3043.22,2995.51,47.71,
aishell1_S0043_01,30.22,very_long,streaming,1829.40,872.84,956.56,
aishell1_S0043_01,30.22,very_long,non-streaming,3119.67,3068.44,51.23,
aishell1_S0060_01,30.83,very_long,streaming,1872.76,891.29,981.47,
aishell1_S0060_01,30.83,very_long,non-streaming,3187.76,3134.85,52.92,
aishell1_S0047_01,31.19,very_long,streaming,2013.42,898.03,1115.38,
aishell1_S0047_01,31.19,very_long,non-streaming,2972.72,2909.07,63.65,
aishell1_S0039_01,31.55,very_long,streaming,1353.73,312.71,1041.01,
aishell1_S0039_01,31.55,very_long,non-streaming,2808.81,2750.01,58.80,
aishell1_S0049_01,31.60,very_long,streaming,1601.71,666.34,935.37,
aishell1_S0049_01,31.60,very_long,non-streaming,2998.31,2952.49,45.81,
aishell1_S0054_01,31.65,very_long,streaming,1928.84,804.86,1123.98,
aishell1_S0054_01,31.65,very_long,non-streaming,3261.73,3209.42,52.31,
aishell1_S0046_01,31.99,very_long,streaming,1727.66,825.59,902.07,
aishell1_S0046_01,31.99,very_long,non-streaming,3115.27,3060.68,54.60,
aishell1_S0038_01,32.05,very_long,streaming,1144.54,-5194.79,6339.32,
aishell1_S0038_01,32.05,very_long,non-streaming,2703.32,2633.76,69.55,
aishell1_S0061_01,32.41,very_long,streaming,1592.14,718.28,873.86,
aishell1_S0061_01,32.41,very_long,non-streaming,2907.13,2851.27,55.86,
aishell1_S0057_01,33.53,very_long,streaming,1417.19,287.15,1130.04,
aishell1_S0057_01,33.53,very_long,non-streaming,3280.04,3236.60,43.44,
aishell1_S0056_01,34.04,very_long,streaming,1594.41,584.83,1009.58,
aishell1_S0056_01,34.04,very_long,non-streaming,2933.89,2887.93,45.96,
aishell1_S0032_01,34.15,very_long,streaming,1655.92,595.24,1060.68,
aishell1_S0032_01,34.15,very_long,non-streaming,3132.52,3082.25,50.27,
aishell1_S0048_01,34.20,very_long,streaming,1985.53,935.72,1049.81,
aishell1_S0048_01,34.20,very_long,non-streaming,2856.63,2811.84,44.79,
aishell1_S0042_01,35.35,very_long,streaming,1897.14,874.09,1023.05,
aishell1_S0042_01,35.35,very_long,non-streaming,2962.91,2916.26,46.65,
